"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2025-11-11T00:00:00.000","3",,,,,"3",,,,
"2025-11-10T00:00:00.000","10",,,,,"10",,,,
"2025-11-09T00:00:00.000","13",,,,,"13",,,,
"2025-11-08T00:00:00.000","3",,,,,,"3",,,
"2025-11-07T00:00:00.000","3",,,,,,"3",,,
"2025-11-06T00:00:00.000","4",,,,,,"4",,,
"2025-11-05T00:00:00.000","20",,,,,,"20",,,
"2025-11-04T00:00:00.000","18",,,,,,"18",,,
"2025-11-03T00:00:00.000","10",,,"1",,,"9",,,
"2025-11-02T00:00:00.000","9",,"1",,,,"8",,,
"2025-11-01T00:00:00.000","7",,,,,,"7",,,
"2025-10-31T00:00:00.000","21",,"2",,,,"18","1",,
"2025-10-30T00:00:00.000","41",,"1",,,,"40",,,
"2025-10-29T00:00:00.000","12",,"3",,,,"9",,,
"2025-10-28T00:00:00.000","18",,,,,,"18",,,
"2025-10-27T00:00:00.000","34",,"1","1",,,"32",,,
"2025-10-26T00:00:00.000","29",,,,,,"29",,,
"2025-10-25T00:00:00.000","23",,,,,,"23",,,
"2025-10-24T00:00:00.000","26",,,,,"1","25",,,
"2025-10-23T00:00:00.000","25",,,,,,"25",,,
"2025-10-22T00:00:00.000","39",,"10",,,,"29",,,
"2025-10-21T00:00:00.000","39",,"1",,,,"37","1",,
"2025-10-20T00:00:00.000","65",,"10",,,,"54","1",,
"2025-10-19T00:00:00.000","34",,"20",,,,"14",,,
"2025-10-18T00:00:00.000","34",,"3",,,,"30","1",,
"2025-10-17T00:00:00.000","37",,"1",,,,"36",,,
"2025-10-16T00:00:00.000","27",,"1",,,,"25","1",,
"2025-10-15T00:00:00.000","70",,"1",,,,"68","1",,
"2025-10-14T00:00:00.000","48",,,,,,"47","1",,
"2025-10-13T00:00:00.000","64",,,,,,"64",,,
"2025-10-12T00:00:00.000","34",,"2",,,,"32",,,
"2025-10-11T00:00:00.000","32",,,,,,"22","10",,
"2025-10-10T00:00:00.000","86",,"3",,,,"82","1",,
"2025-10-09T00:00:00.000","91",,"12",,,,"79",,,
"2025-10-08T00:00:00.000","69",,"1",,,,"68",,,
"2025-10-07T00:00:00.000","58",,"13",,,,"45",,,
"2025-10-06T00:00:00.000","76",,"10",,,,"66",,,
"2025-10-05T00:00:00.000","50",,"11",,,,"39",,,
"2025-10-04T00:00:00.000","30",,"10",,,,"20",,,
"2025-10-03T00:00:00.000","66",,"4",,,,"62",,,
"2025-10-02T00:00:00.000","40",,"12",,,,"28",,,
"2025-10-01T00:00:00.000","44",,"3",,,,"31","10",,
"2025-09-30T00:00:00.000","51",,"14",,,,"37",,,
"2025-09-29T00:00:00.000","63",,"26",,,,"37",,,
"2025-09-28T00:00:00.000","21",,"2",,,,"9","10",,
"2025-09-27T00:00:00.000","22",,"2",,,,"20",,,
"2025-09-26T00:00:00.000","55",,"11",,,,"44",,,
"2025-09-25T00:00:00.000","48",,,,,,"48",,,
"2025-09-24T00:00:00.000","46",,"2",,,,"44",,,
"2025-09-23T00:00:00.000","38",,,,,,"38",,,
"2025-09-22T00:00:00.000","25",,"15",,,,"10",,,
"2025-09-21T00:00:00.000","39",,"22",,,,"17",,,
"2025-09-20T00:00:00.000","27",,"4",,,,"22","1",,
"2025-09-19T00:00:00.000","50",,"1","1",,,"48",,,
"2025-09-18T00:00:00.000","49",,"4",,,,"45",,,
"2025-09-17T00:00:00.000","32",,"1",,,,"31",,,
"2025-09-16T00:00:00.000","28",,"1",,,,"26","1",,
