"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-06-15T00:00:00.000","1",,,,,"1",,,,
"2021-06-14T00:00:00.000","9",,,,,"8","1",,,
"2021-06-13T00:00:00.000","9",,,,,"9",,,,
"2021-06-12T00:00:00.000","15",,,,,"15",,,,
"2021-06-11T00:00:00.000","30",,,,,"29",,"1",,
"2021-06-10T00:00:00.000","58",,,,,"57","1",,,
"2021-06-09T00:00:00.000","85",,,,,"84","1",,,
"2021-06-08T00:00:00.000","97",,,,,"97",,,,
"2021-06-07T00:00:00.000","112",,,,,"111","1",,,
"2021-06-06T00:00:00.000","97",,,,,"96","1",,,
"2021-06-05T00:00:00.000","157",,,,,"150","6","1",,
"2021-06-04T00:00:00.000","159",,,,,"156","3",,,
"2021-06-03T00:00:00.000","177",,"2",,,"169","5","1",,
"2021-06-02T00:00:00.000","188",,"4",,,"175","9",,,
"2021-06-01T00:00:00.000","243",,"4",,,"220","19",,,
"2021-05-31T00:00:00.000","210",,"2",,,"169","38","1",,
"2021-05-30T00:00:00.000","164",,"1",,,"131","30","2",,
"2021-05-29T00:00:00.000","205",,,,,"161","43","1",,
"2021-05-28T00:00:00.000","243",,"5",,,"175","62","1",,
"2021-05-27T00:00:00.000","254",,"10",,,"173","68","3",,
"2021-05-26T00:00:00.000","294",,"15",,,"180","96","3",,
"2021-05-25T00:00:00.000","289",,"20",,,"143","122","4",,
"2021-05-24T00:00:00.000","346",,"15",,,"163","165","3",,
"2021-05-23T00:00:00.000","308",,"7",,,"139","162",,,
"2021-05-22T00:00:00.000","309",,"9",,,"143","156","1",,
"2021-05-21T00:00:00.000","346",,"16",,,"138","192",,,
"2021-05-20T00:00:00.000","408",,"42",,,"120","241","5",,
"2021-05-19T00:00:00.000","466",,"41",,,"134","288","3",,
"2021-05-18T00:00:00.000","509",,"47",,,"131","326","5",,
"2021-05-17T00:00:00.000","473",,"37",,,"104","325","7",,
"2021-05-16T00:00:00.000","403",,"13",,,"78","308","4",,
"2021-05-15T00:00:00.000","417",,"14",,,"66","331","6",,
"2021-05-14T00:00:00.000","502",,"17",,,"74","405","6",,
"2021-05-13T00:00:00.000","532",,"37","1",,"57","429","8",,
"2021-05-12T00:00:00.000","635",,"42",,,"67","510","16",,
"2021-05-11T00:00:00.000","612",,"36",,,"79","488","9",,
"2021-05-10T00:00:00.000","798",,"63","1",,"100","623","11",,
"2021-05-09T00:00:00.000","578",,"26",,,"90","454","8",,
"2021-05-08T00:00:00.000","629",,"27",,,"81","514","7",,
"2021-05-07T00:00:00.000","746",,"65",,,"101","576","4",,
"2021-05-06T00:00:00.000","782",,"80",,,"111","587","4",,
"2021-05-05T00:00:00.000","987",,"63",,,"109","805","10",,
"2021-05-04T00:00:00.000","974",,"87",,,"118","763","6",,
"2021-05-03T00:00:00.000","1077",,"81","1",,"109","866","20",,
"2021-05-02T00:00:00.000","820",,"31",,,"108","668","13",,
"2021-05-01T00:00:00.000","996",,"36",,,"120","821","19",,
"2021-04-30T00:00:00.000","926",,"67",,,"94","753","12",,
"2021-04-29T00:00:00.000","995",,"90","1",,"96","796","12",,
"2021-04-28T00:00:00.000","1091",,"104",,,"110","863","14",,
"2021-04-27T00:00:00.000","1279",,"103","2",,"115","1030","29",,
"2021-04-26T00:00:00.000","1352",,"101",,,"121","1106","24",,
"2021-04-25T00:00:00.000","1196",,"47","1",,"106","1023","19",,
"2021-04-24T00:00:00.000","1189",,"47",,,"76","1050","16",,
"2021-04-23T00:00:00.000","1362",,"85",,,"53","1202","22",,
"2021-04-22T00:00:00.000","1320",,"116",,,"39","1142","23",,
"2021-04-21T00:00:00.000","1464",,"113",,,"43","1286","22",,
"2021-04-20T00:00:00.000","1511",,"130","2",,"35","1313","31",,
"2021-04-19T00:00:00.000","1514",,"124","3",,"27","1335","25",,
"2021-04-18T00:00:00.000","1232",,"45",,,"21","1140","26",,
"2021-04-17T00:00:00.000","1227",,"60","1",,"30","1119","17",,
"2021-04-16T00:00:00.000","1299",,"86",,,"26","1144","43",,
"2021-04-15T00:00:00.000","1358",,"119",,,"21","1191","27",,
"2021-04-14T00:00:00.000","1395",,"135",,,"19","1214","27",,
"2021-04-13T00:00:00.000","1544",,"130",,,"23","1363","28",,
"2021-04-12T00:00:00.000","1587",,"122","1",,"25","1404","35",,
"2021-04-11T00:00:00.000","1219",,"50","1",,"10","1132","26",,
"2021-04-10T00:00:00.000","1454",,"100",,,"19","1309","26",,
"2021-04-09T00:00:00.000","1394",,"137",,,"11","1206","40",,
"2021-04-08T00:00:00.000","1553",,"183","3",,"15","1323","29",,
"2021-04-07T00:00:00.000","1688",,"204",,,"6","1438","40",,
"2021-04-06T00:00:00.000","1709",,"183",,,"21","1462","43",,
"2021-04-05T00:00:00.000","1346",,"68","1",,"12","1229","36",,
"2021-04-04T00:00:00.000","1321",,"35",,,"7","1242","37",,
"2021-04-03T00:00:00.000","1423",,"125",,,"12","1253","33",,
"2021-04-02T00:00:00.000","1725",,"149","1",,"19","1505","51",,
"2021-04-01T00:00:00.000","2115",,"202","2",,"18","1831","62",,
"2021-03-31T00:00:00.000","1851",,"249","2",,"14","1529","57",,
"2021-03-30T00:00:00.000","2202",,"218","1",,"14","1915","54",,
"2021-03-29T00:00:00.000","2537",,"228","1",,"12","2223","73",,
"2021-03-28T00:00:00.000","1974",,"93",,,"13","1805","63",,
"2021-03-27T00:00:00.000","2229",,"237",,,"17","1914","61",,
"2021-03-26T00:00:00.000","2457",,"277","1",,"14","2102","63",,
"2021-03-25T00:00:00.000","2548",,"370",,,"16","2080","82",,
"2021-03-24T00:00:00.000","2719",,"344","1",,"21","2275","78",,
"2021-03-23T00:00:00.000","2741",,"357",,,"16","2271","97",,
"2021-03-22T00:00:00.000","3130",,"369",,,"18","2663","80",,
"2021-03-21T00:00:00.000","2513",,"128","1",,"12","2299","73",,
"2021-03-20T00:00:00.000","2769",,"244","1",,"17","2444","63",,
"2021-03-19T00:00:00.000","2801",,"304","1",,"17","2413","66",,
"2021-03-18T00:00:00.000","2873",,"401","2",,"15","2373","82",,
"2021-03-17T00:00:00.000","3121",,"414",,,"16","2601","90",,
"2021-03-16T00:00:00.000","3181",,"468","1",,"18","2604","90",,
"2021-03-15T00:00:00.000","3729",,"441","1",,"17","3166","104",,
"2021-03-14T00:00:00.000","2863",,"162",,,"11","2605","85",,
"2021-03-13T00:00:00.000","2998",,"340","1",,"12","2560","85",,
"2021-03-12T00:00:00.000","3413",,"436",,,"18","2857","102",,
"2021-03-11T00:00:00.000","3301",,"452","2",,"15","2759","73",,
"2021-03-10T00:00:00.000","4021",,"575",,,"15","3310","121",,
"2021-03-09T00:00:00.000","3566",,"497","1",,"24","2966","78",,
"2021-03-08T00:00:00.000","4073",,"441","1",,"22","3498","111",,
"2021-03-07T00:00:00.000","3042",,"149",,,"11","2792","90",,
"2021-03-06T00:00:00.000","3299",,"351","1",,"18","2866","63",,
"2021-03-05T00:00:00.000","3759",,"490","1",,"26","3135","107",,
"2021-03-04T00:00:00.000","3403",,"434","1",,"17","2847","104",,
"2021-03-03T00:00:00.000","3609",,"475","1",,"18","3041","74",,
"2021-03-02T00:00:00.000","3575",,"532","1",,"21","2939","82",,
"2021-03-01T00:00:00.000","4283",,"445","1",,"26","3701","110",,
"2021-02-28T00:00:00.000","2385",,"151",,,"12","2153","69",,
"2021-02-27T00:00:00.000","2589",,"321",,,"11","2194","63",,
"2021-02-26T00:00:00.000","2984",,"384","1",,"16","2509","74",,
"2021-02-25T00:00:00.000","2874",,"371",,,"21","2391","91",,
"2021-02-24T00:00:00.000","2841",,"322","1",,"9","2443","66",,
"2021-02-23T00:00:00.000","2909",,"339","1",,"20","2479","70",,
"2021-02-22T00:00:00.000","3080",,"272",,,"24","2702","82",,
"2021-02-21T00:00:00.000","2222",,"93",,,"12","2066","51",,
"2021-02-20T00:00:00.000","2444",,"242",,,"14","2121","67",,
"2021-02-19T00:00:00.000","2320",,"240",,,"17","2008","55",,
"2021-02-18T00:00:00.000","2159",,"198",,,"14","1877","70",,
"2021-02-17T00:00:00.000","2180",,"229",,,"9","1895","47",,
"2021-02-16T00:00:00.000","1992",,"196",,,"7","1733","56",,
"2021-02-15T00:00:00.000","2000",,"134","2",,"20","1787","57",,
"2021-02-14T00:00:00.000","1564",,"65",,,"4","1453","42",,
"2021-02-13T00:00:00.000","1447",,"146",,,"5","1269","27",,
"2021-02-12T00:00:00.000","1420",,"124",,,"7","1256","33",,
"2021-02-11T00:00:00.000","1342",,"88",,,"12","1196","46",,
"2021-02-10T00:00:00.000","1591",,"112",,,"10","1437","32",,
"2021-02-09T00:00:00.000","1492",,"135",,,"13","1313","31",,
"2021-02-08T00:00:00.000","1558",,"122","1",,"12","1369","54",,
"2021-02-07T00:00:00.000","1182",,"46",,,"5","1103","28",,
"2021-02-06T00:00:00.000","1283",,"72","2",,"8","1166","35",,
"2021-02-05T00:00:00.000","1384",,"89",,,"10","1249","36",,
"2021-02-04T00:00:00.000","1308",,"90",,,"6","1166","46",,
"2021-02-03T00:00:00.000","1261",,"111","1",,"4","1107","38",,
