"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2024-03-25T00:00:00.000","10",,,,,"10",,,,
"2024-03-23T00:00:00.000","6",,,,,"6",,,,
"2024-03-22T00:00:00.000","4",,,,,"4",,,,
"2024-03-21T00:00:00.000","4",,,,,"2","2",,,
"2024-03-20T00:00:00.000","4",,,,,"3","1",,,
"2024-03-19T00:00:00.000","2",,,,,"2",,,,
"2024-03-18T00:00:00.000","13",,,,,"12","1",,,
"2024-03-17T00:00:00.000","15",,,,,"3","12",,,
"2024-03-16T00:00:00.000","2",,,,,"1","1",,,
"2024-03-15T00:00:00.000","3",,,,,"1","2",,,
"2024-03-13T00:00:00.000","12",,,,,"1","10","1",,
"2024-03-12T00:00:00.000","25",,"10",,,"3","12",,,
"2024-03-11T00:00:00.000","5",,,,,"3","1","1",,
"2024-03-10T00:00:00.000","6",,,,,"2","4",,,
"2024-03-08T00:00:00.000","6",,,,,"3","3",,,
"2024-03-07T00:00:00.000","13",,,,,,"12","1",,
"2024-03-06T00:00:00.000","18",,,,,"12","6",,,
"2024-03-05T00:00:00.000","16",,,,,"3","13",,,
"2024-03-04T00:00:00.000","19",,,,,"3","16",,,
"2024-03-03T00:00:00.000","7",,,,,"3","3","1",,
"2024-03-02T00:00:00.000","2",,,,,,"2",,,
"2024-03-01T00:00:00.000","19",,,,,"4","4","11",,
"2024-02-29T00:00:00.000","47",,,,,"2","45",,,
"2024-02-28T00:00:00.000","29",,,,,"3","25",,"1",
"2024-02-27T00:00:00.000","18",,,,,"5","12",,"1",
"2024-02-26T00:00:00.000","12",,,,,,"12",,,
"2024-02-25T00:00:00.000","21",,"1",,,,"20",,,
"2024-02-24T00:00:00.000","6",,"2",,,,"4",,,
"2024-02-23T00:00:00.000","16",,,,,"1","5","10",,
"2024-02-22T00:00:00.000","27",,,,,"2","25",,,
"2024-02-21T00:00:00.000","7",,,,,"2","5",,,
"2024-02-20T00:00:00.000","27",,,,,"12","15",,,
"2024-02-19T00:00:00.000","13",,,,,"2","11",,,
"2024-02-18T00:00:00.000","16",,,,,"2","14",,,
"2024-02-17T00:00:00.000","6",,,,,,"5","1",,
"2024-02-16T00:00:00.000","15",,,,,,"15",,,
"2024-02-15T00:00:00.000","8",,,,,,"8",,,
"2024-02-14T00:00:00.000","13",,,,,,"12","1",,
"2024-02-13T00:00:00.000","13",,,,,,"13",,,
"2024-02-12T00:00:00.000","7",,,,,,"6","1",,
"2024-02-11T00:00:00.000","18",,,,,,"17","1",,
"2024-02-10T00:00:00.000","13",,,,,,"13",,,
"2024-02-09T00:00:00.000","10",,,,,,"10",,,
"2024-02-08T00:00:00.000","19",,,,,,"19",,,
"2024-02-07T00:00:00.000","25",,,,,,"23","1","1",
"2024-02-06T00:00:00.000","32",,,,,,"30","2",,
"2024-02-05T00:00:00.000","23",,,,,,"22","1",,
"2024-02-04T00:00:00.000","23",,,,,,"20","2","1",
"2024-02-03T00:00:00.000","34",,,,,,"33","1",,
"2024-02-02T00:00:00.000","22",,,,,,"21","1",,
"2024-02-01T00:00:00.000","37",,"1",,,,"35","1",,
"2024-01-31T00:00:00.000","10",,,,,,"9","1",,
"2024-01-30T00:00:00.000","27",,,,,,"27",,,
"2024-01-29T00:00:00.000","59",,,,,,"57","2",,
"2024-01-28T00:00:00.000","36",,,,,,"35",,"1",
"2024-01-27T00:00:00.000","31",,,,,,"29","1","1",
"2024-01-26T00:00:00.000","35",,,,,,"35",,,
"2024-01-25T00:00:00.000","60",,,,,,"60",,,
"2024-01-24T00:00:00.000","53",,"1",,,,"52",,,
"2024-01-23T00:00:00.000","50",,"1",,,,"48","1",,
"2024-01-22T00:00:00.000","39",,,,,,"36","2","1",
"2024-01-21T00:00:00.000","56",,,,,,"43","12","1",
"2024-01-20T00:00:00.000","17",,,,,,"16","1",,
"2024-01-19T00:00:00.000","62",,"1",,,,"58","2","1",
"2024-01-18T00:00:00.000","91",,,,,,"81","10",,
"2024-01-17T00:00:00.000","74",,,,,,"74",,,
"2024-01-16T00:00:00.000","48",,,,,,"46","1","1",
"2024-01-15T00:00:00.000","142",,,,,,"141","1",,
"2024-01-14T00:00:00.000","50",,,,,,"49","1",,
"2024-01-13T00:00:00.000","86",,,,,,"80","5","1",
"2024-01-12T00:00:00.000","60",,,,,,"47","11","2",
"2024-01-11T00:00:00.000","76",,,,,,"75","1",,
"2024-01-10T00:00:00.000","97",,,,,,"83","14",,
"2024-01-09T00:00:00.000","60",,"1",,,,"55","3","1",
"2024-01-08T00:00:00.000","107",,,,,,"102","3","2",
"2024-01-07T00:00:00.000","53",,,,,,"50","3",,
"2024-01-06T00:00:00.000","104",,,,,,"92","12",,
"2024-01-05T00:00:00.000","137",,"1",,,,"128","6","2",
"2024-01-04T00:00:00.000","98",,,,,,"80","18",,
"2024-01-03T00:00:00.000","115",,,,,,"112","3",,
"2024-01-02T00:00:00.000","134",,,,,,"128","4","2",
"2024-01-01T00:00:00.000","139",,,,,,"134","4","1",
"2023-12-31T00:00:00.000","139",,"24",,,,"89","26",,
"2023-12-30T00:00:00.000","97",,"2",,,,"89","4","2",
"2023-12-29T00:00:00.000","135",,"1",,,,"124","10",,
"2023-12-28T00:00:00.000","240",,"2",,,,"217","19","2",
"2023-12-27T00:00:00.000","252",,"13",,,,"213","25","1",
"2023-12-26T00:00:00.000","220",,"2",,,,"193","24","1",
"2023-12-25T00:00:00.000","109",,,,,,"101","6","2",
"2023-12-24T00:00:00.000","109",,"13",,,,"89","7",,
"2023-12-23T00:00:00.000","164",,"11",,,,"149","3","1",
"2023-12-22T00:00:00.000","135",,"2",,,,"126","6","1",
"2023-12-21T00:00:00.000","140",,"1",,,,"132","6","1",
"2023-12-20T00:00:00.000","217",,"1",,,,"207","6","3",
"2023-12-19T00:00:00.000","185",,"1",,,,"175","5","4",
"2023-12-18T00:00:00.000","240",,"1",,,,"217","19","3",
"2023-12-17T00:00:00.000","147",,"1",,,,"131","15",,
"2023-12-16T00:00:00.000","117",,,,,,"112","3","2",
"2023-12-15T00:00:00.000","243",,"1",,,,"224","14","4",
"2023-12-14T00:00:00.000","250",,,,,,"206","42","2",
"2023-12-13T00:00:00.000","244",,"3",,,,"234","6","1",
"2023-12-12T00:00:00.000","220",,,,,,"214","4","2",
"2023-12-11T00:00:00.000","304",,"1",,,,"266","29","8",
"2023-12-10T00:00:00.000","218",,,,,,"170","48",,
"2023-12-09T00:00:00.000","256",,,,,,"232","22","2",
"2023-12-08T00:00:00.000","225",,"2",,,,"207","5","11",
"2023-12-07T00:00:00.000","199",,"1",,,,"191","6","1",
"2023-12-06T00:00:00.000","256",,,,,,"236","17","3",
"2023-12-05T00:00:00.000","248",,"1",,,,"223","18","6",
"2023-12-04T00:00:00.000","297",,,,,,"284","9","4",
"2023-12-03T00:00:00.000","188",,"2",,,,"172","14",,
"2023-12-02T00:00:00.000","178",,"12",,,,"151","14","1",
"2023-12-01T00:00:00.000","261",,"2",,,,"206","31","22",
"2023-11-30T00:00:00.000","222",,"2",,,,"198","21","1",
"2023-11-29T00:00:00.000","217",,,,,,"209","3","5",
"2023-11-28T00:00:00.000","190",,"1",,,,"165","20","4",
