"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2022-01-04T00:00:00.000","843",,,,,"843",,,,
"2022-01-03T00:00:00.000","2662",,,,,"2662",,,,
"2022-01-02T00:00:00.000","2838",,,,,"2835",,"3",,
"2022-01-01T00:00:00.000","4634",,,,,"4632","1","1",,
"2021-12-31T00:00:00.000","4926",,"2",,,"4921","1","2",,
"2021-12-30T00:00:00.000","8448",,,,,"8445","2","1",,
"2021-12-29T00:00:00.000","11811",,,,,"11807","1","3",,
"2021-12-28T00:00:00.000","15176",,,,,"15168","2","6",,
"2021-12-27T00:00:00.000","16080",,,,,"16071",,"9",,
"2021-12-26T00:00:00.000","12030",,,,,"12019","1","10",,
"2021-12-25T00:00:00.000","8854",,"1",,,"8836","5","12",,
"2021-12-24T00:00:00.000","9000",,"2",,,"8963","24","11",,
"2021-12-23T00:00:00.000","7906",,"8",,,"7764","125","9",,
"2021-12-22T00:00:00.000","7113",,"10","1",,"6759","333","10",,
"2021-12-21T00:00:00.000","6948",,"23",,,"6249","661","14","1",
"2021-12-20T00:00:00.000","6132",,"36",,,"5173","901","22",,
"2021-12-19T00:00:00.000","4317",,"26",,,"3454","823","14",,
"2021-12-18T00:00:00.000","3414",,"20",,,"2526","858","10",,
"2021-12-17T00:00:00.000","3162",,"25",,,"2097","1030","9","1",
"2021-12-16T00:00:00.000","2827",,"40",,,"1711","1052","24",,
"2021-12-15T00:00:00.000","2728",,"32","1",,"1456","1225","14",,
"2021-12-14T00:00:00.000","2736",,"34",,,"1299","1387","16",,
"2021-12-13T00:00:00.000","2405",,"40",,,"998","1353","14",,
"2021-12-12T00:00:00.000","2026",,"31",,,"716","1261","18",,
"2021-12-11T00:00:00.000","1910",,"33",,,"541","1315","21",,
"2021-12-10T00:00:00.000","1813",,"34",,,"509","1251","19",,
"2021-12-09T00:00:00.000","1705",,"30",,,"346","1313","16",,
"2021-12-08T00:00:00.000","1722",,"23",,,"330","1355","14",,
"2021-12-07T00:00:00.000","1720",,"38",,,"271","1389","22",,
"2021-12-06T00:00:00.000","1664",,"32",,,"216","1394","21","1",
"2021-12-05T00:00:00.000","1392",,"21",,,"155","1192","24",,
"2021-12-04T00:00:00.000","1432",,"22",,,"148","1241","21",,
"2021-12-03T00:00:00.000","1451",,"29",,,"145","1256","21",,
"2021-12-02T00:00:00.000","1507",,"21",,,"141","1324","21",,
"2021-12-01T00:00:00.000","1817",,"33",,,"212","1551","21",,
"2021-11-30T00:00:00.000","1396",,"24",,,"103","1251","18",,
"2021-11-29T00:00:00.000","1394",,"31",,,"125","1221","17",,
"2021-11-28T00:00:00.000","1239",,"20",,,"81","1124","14",,
"2021-11-27T00:00:00.000","1171",,"16",,,"92","1048","15",,
"2021-11-26T00:00:00.000","1246",,"23",,,"80","1129","13","1",
"2021-11-25T00:00:00.000","1269",,"17",,,"116","1122","13","1",
"2021-11-24T00:00:00.000","1263",,"24",,,"95","1121","23",,
"2021-11-23T00:00:00.000","1212",,"24",,,"90","1088","10",,
"2021-11-22T00:00:00.000","1284",,"34",,,"81","1154","14","1",
"2021-11-21T00:00:00.000","1091",,"32",,,"79","957","23",,
"2021-11-20T00:00:00.000","1062",,"31",,,"68","953","10",,
"2021-11-19T00:00:00.000","1021",,"33",,,"61","914","13",,
"2021-11-18T00:00:00.000","1059",,"40",,,"48","961","10",,
"2021-11-17T00:00:00.000","1098",,"40","1",,"55","991","10","1",
