"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-04-14T00:00:00.000","1",,,,,"1",,,,
"2021-04-13T00:00:00.000","16",,,,,"16",,,,
"2021-04-12T00:00:00.000","101",,,,,"100",,"1",,
"2021-04-11T00:00:00.000","155",,,,,"154","1",,,
"2021-04-10T00:00:00.000","256",,,,,"256",,,,
"2021-04-09T00:00:00.000","359",,,,,"353","5","1",,
"2021-04-08T00:00:00.000","577",,,"2",,"568","4","3",,
"2021-04-07T00:00:00.000","786",,,,,"777","6","3",,
"2021-04-06T00:00:00.000","948",,,,,"935","7","6",,
"2021-04-05T00:00:00.000","780",,,,,"766","8","6",,
"2021-04-04T00:00:00.000","816",,,,,"800","6","10",,
"2021-04-03T00:00:00.000","855",,,,,"826","19","10",,
"2021-04-02T00:00:00.000","1148",,"3","1",,"1098","31","15",,
"2021-04-01T00:00:00.000","1545",,"5","2",,"1445","71","22",,
"2021-03-31T00:00:00.000","1419",,"21",,,"1285","95","18",,
"2021-03-30T00:00:00.000","1834",,"27",,,"1630","156","21",,
"2021-03-29T00:00:00.000","2180",,"22",,,"1880","245","33",,
"2021-03-28T00:00:00.000","1807",,"12",,,"1534","231","30",,
"2021-03-27T00:00:00.000","1931",,"37",,,"1589","271","34",,
"2021-03-26T00:00:00.000","2173",,"61",,,"1706","369","37",,
"2021-03-25T00:00:00.000","2226",,"105",,,"1543","514","64",,
"2021-03-24T00:00:00.000","2453",,"134","1",,"1560","707","51",,
"2021-03-23T00:00:00.000","2514",,"165",,,"1522","756","71",,
"2021-03-22T00:00:00.000","2892",,"174",,,"1518","1149","51",,
"2021-03-21T00:00:00.000","2429",,"75","1",,"1153","1147","53",,
"2021-03-20T00:00:00.000","2675",,"185","1",,"1028","1410","51",,
"2021-03-19T00:00:00.000","2727",,"255","1",,"839","1586","46",,
"2021-03-18T00:00:00.000","2783",,"338","2",,"657","1720","66",,
"2021-03-17T00:00:00.000","3057",,"377",,,"557","2050","73",,
"2021-03-16T00:00:00.000","3103",,"413","1",,"504","2117","68",,
"2021-03-15T00:00:00.000","3658",,"397","1",,"483","2685","92",,
"2021-03-14T00:00:00.000","2817",,"135",,,"363","2243","76",,
"2021-03-13T00:00:00.000","2958",,"320","1",,"274","2292","71",,
"2021-03-12T00:00:00.000","3351",,"400",,,"340","2525","86",,
"2021-03-11T00:00:00.000","3239",,"411","2",,"263","2498","65",,
"2021-03-10T00:00:00.000","3948",,"522",,,"305","3011","110",,
"2021-03-09T00:00:00.000","3527",,"466","1",,"239","2752","69",,
"2021-03-08T00:00:00.000","4025",,"412","1",,"263","3247","102",,
"2021-03-07T00:00:00.000","3020",,"134",,,"193","2613","80",,
"2021-03-06T00:00:00.000","3271",,"338","1",,"160","2712","60",,
"2021-03-05T00:00:00.000","3723",,"459","1",,"216","2945","102",,
"2021-03-04T00:00:00.000","3362",,"410","1",,"162","2691","98",,
"2021-03-03T00:00:00.000","3580",,"454","1",,"160","2895","70",,
"2021-03-02T00:00:00.000","3544",,"519","1",,"138","2808","78",,
"2021-03-01T00:00:00.000","4254",,"424","1",,"165","3558","106",,
"2021-02-28T00:00:00.000","2371",,"143",,,"81","2080","67",,
"2021-02-27T00:00:00.000","2575",,"313",,,"68","2133","61",,
"2021-02-26T00:00:00.000","2975",,"377","1",,"80","2444","73",,
"2021-02-25T00:00:00.000","2867",,"367",,,"79","2333","88",,
"2021-02-24T00:00:00.000","2831",,"315","1",,"69","2384","62",,
"2021-02-23T00:00:00.000","2895",,"326","1",,"68","2433","67",,
"2021-02-22T00:00:00.000","3070",,"266",,,"93","2632","79",,
"2021-02-21T00:00:00.000","2216",,"91",,,"67","2009","49",,
"2021-02-20T00:00:00.000","2437",,"237",,,"63","2074","63",,
"2021-02-19T00:00:00.000","2312",,"235",,,"55","1968","54",,
"2021-02-18T00:00:00.000","2152",,"193",,,"47","1846","66",,
"2021-02-17T00:00:00.000","2170",,"223",,,"41","1861","45",,
"2021-02-16T00:00:00.000","1985",,"191",,,"32","1707","55",,
"2021-02-15T00:00:00.000","1993",,"131","2",,"53","1751","56",,
"2021-02-14T00:00:00.000","1562",,"64",,,"17","1439","42",,
"2021-02-13T00:00:00.000","1442",,"143",,,"24","1249","26",,
"2021-02-12T00:00:00.000","1412",,"116",,,"21","1242","33",,
"2021-02-11T00:00:00.000","1338",,"84",,,"27","1182","45",,
"2021-02-10T00:00:00.000","1585",,"107",,,"29","1418","31",,
"2021-02-09T00:00:00.000","1491",,"133",,,"35","1293","30",,
"2021-02-08T00:00:00.000","1555",,"122","1",,"33","1347","52",,
"2021-02-07T00:00:00.000","1180",,"45",,,"15","1092","28",,
"2021-02-06T00:00:00.000","1279",,"70","2",,"25","1147","35",,
"2021-02-05T00:00:00.000","1382",,"86",,,"22","1238","36",,
"2021-02-04T00:00:00.000","1304",,"88",,,"17","1153","46",,
"2021-02-03T00:00:00.000","1253",,"106","1",,"23","1085","38",,
"2021-02-02T00:00:00.000","1277",,"90",,,"21","1133","33",,
"2021-02-01T00:00:00.000","1570",,"83",,,"24","1404","59",,
"2021-01-31T00:00:00.000","930",,"29",,,"10","863","28",,
"2021-01-30T00:00:00.000","930",,"55",,,"9","837","29",,
"2021-01-29T00:00:00.000","1053",,"63",,,"13","939","38",,
"2021-01-28T00:00:00.000","1134",,"96",,,"17","988","33",,
"2021-01-27T00:00:00.000","1187",,"105",,,"15","1029","38",,
"2021-01-26T00:00:00.000","1124",,"98",,,"13","975","38",,
"2021-01-25T00:00:00.000","1269",,"90",,,"18","1125","36",,
"2021-01-24T00:00:00.000","977",,"39",,,"8","893","37",,
"2021-01-23T00:00:00.000","1058",,"51",,,"12","966","29",,
"2021-01-22T00:00:00.000","1131",,"53",,,"10","1024","44",,
"2021-01-21T00:00:00.000","1025",,"81","1",,"8","904","31",,
"2021-01-20T00:00:00.000","1241",,"162","3",,"14","1019","43",,
"2021-01-19T00:00:00.000","1269",,"143",,,"9","1076","41",,
"2021-01-18T00:00:00.000","1246",,"164","4",,"11","1013","54",,
"2021-01-17T00:00:00.000","869",,"72",,,"9","754","34",,
"2021-01-16T00:00:00.000","933",,"104",,,"6","780","43",,
"2021-01-15T00:00:00.000","1127",,"193","1",,"11","888","34",,
"2021-01-14T00:00:00.000","1128",,"234","4",,"6","828","56",,
"2021-01-13T00:00:00.000","1175",,"259",,,"11","863","42",,
"2021-01-12T00:00:00.000","1277",,"238","1",,"9","975","54",,
"2021-01-11T00:00:00.000","1276",,"213","1",,"17","1001","44",,
"2021-01-10T00:00:00.000","970",,"132","3",,"6","793","36",,
"2021-01-09T00:00:00.000","1129",,"191","1",,"11","879","47",,
"2021-01-08T00:00:00.000","1252",,"249","3",,"13","933","54",,
"2021-01-07T00:00:00.000","1362",,"262","1",,"10","1040","49",,
"2021-01-06T00:00:00.000","1214",,"225",,,"9","939","41",,
"2021-01-05T00:00:00.000","2053",,"705",,,"13","1278","57",,
"2021-01-04T00:00:00.000","2123",,"509","4",,"7","1526","77",,
"2021-01-03T00:00:00.000","1418",,"231","1",,"6","1137","43",,
"2021-01-02T00:00:00.000","1407",,"301",,,"5","1042","59",,
"2021-01-01T00:00:00.000","1499",,"175",,,"9","1273","42",,
"2020-12-31T00:00:00.000","1649",,"545","5",,"10","1053","36",,
"2020-12-30T00:00:00.000","1672",,"531","3",,"8","1081","49",,
"2020-12-29T00:00:00.000","1712",,"557","3",,"7","1082","63",,
"2020-12-28T00:00:00.000","1567",,"286","3",,"4","1223","51",,
"2020-12-27T00:00:00.000","1261",,"219","1",,"7","1001","33",,
"2020-12-26T00:00:00.000","1068",,"112","1",,"9","914","32",,
"2020-12-25T00:00:00.000","999",,"104",,,"9","856","30",,
"2020-12-24T00:00:00.000","1239",,"247",,,"8","946","38",,
"2020-12-23T00:00:00.000","1445",,"334","6",,"11","1027","67",,
"2020-12-22T00:00:00.000","1330",,"263","2",,"12","1003","50",,
"2020-12-21T00:00:00.000","1414",,"251","2",,"8","1103","50",,
"2020-12-20T00:00:00.000","1005",,"123",,,"3","841","38",,
"2020-12-19T00:00:00.000","961",,"159",,,"7","745","50",,
"2020-12-18T00:00:00.000","1231",,"294","1",,"9","874","53",,
"2020-12-17T00:00:00.000","1190",,"285","1",,"6","851","47",,
"2020-12-16T00:00:00.000","1264",,"271","1",,"10","940","42",,
"2020-12-15T00:00:00.000","1384",,"285","12",,"8","1032","47",,
"2020-12-14T00:00:00.000","1500",,"307","3",,"13","1136","41",,
"2020-12-13T00:00:00.000","957",,"84",,,"9","824","40",,
"2020-12-12T00:00:00.000","1146",,"129","1",,"5","968","43",,
"2020-12-11T00:00:00.000","1451",,"238","2",,"4","1136","71",,
"2020-12-10T00:00:00.000","1485",,"281","9",,"10","1125","60",,
"2020-12-09T00:00:00.000","1545",,"223","3",,"12","1249","58",,
"2020-12-08T00:00:00.000","1031",,"64",,,"2","932","33",,
"2020-12-07T00:00:00.000","1796","23","610","9",,"11","1084","59",,
"2020-12-06T00:00:00.000","1135","4","377","2",,"1","711","40",,
"2020-12-05T00:00:00.000","1354","10","427","4",,"8","866","39",,
"2020-12-04T00:00:00.000","2101","10","662","28",,"7","1225","169",,
"2020-12-03T00:00:00.000","1635","9","562","11",,"5","995","53",,
"2020-12-02T00:00:00.000","1796","12","751","13",,"1","974","45",,
"2020-12-01T00:00:00.000","2218","17","895","14",,"9","1210","73",,
"2020-11-30T00:00:00.000","1978","15","864","9",,"6","1018","66",,
"2020-11-29T00:00:00.000","1584","1","830","3",,"5","695","50",,
"2020-11-28T00:00:00.000","2309","2","1060","2",,"7","1180","58",,
"2020-11-27T00:00:00.000","2202","8","939","5",,"8","1173","69",,
"2020-11-26T00:00:00.000","2636","21","1417","12",,"5","1098","83",,
"2020-11-25T00:00:00.000","2433","16","1245","13",,"8","1093","58",,
"2020-11-24T00:00:00.000","2948","14","1750","11",,"2","1105","66",,
"2020-11-23T00:00:00.000","2990","28","1508","16",,"11","1334","93",,
"2020-11-22T00:00:00.000","2330","5","1326","14",,"6","933","46",,
"2020-11-21T00:00:00.000","3223","9","2066","11",,"4","1054","79",,
"2020-11-20T00:00:00.000","3576","21","2013","25",,"2","1413","102",,
"2020-11-19T00:00:00.000","3994","21","2765","18",,"10","1100","80",,
"2020-11-18T00:00:00.000","4244","21","2498","15",,"15","1588","107",,
"2020-11-17T00:00:00.000","3587","31","2078","22",,"11","1360","85",,
"2020-11-16T00:00:00.000","4913","30","3021","25",,"12","1725","100",,
"2020-11-15T00:00:00.000","4250","8","2238","16",,"11","1845","132",,
"2020-11-14T00:00:00.000","5065","7","3361","37",,"14","1559","87",,
"2020-11-13T00:00:00.000","5201","21","2850","27",,"15","2161","127",,
"2020-11-12T00:00:00.000","4803","28","2919","37",,"15","1694","110",,
"2020-11-11T00:00:00.000","4946","21","2761","23",,"15","2004","122",,
"2020-11-10T00:00:00.000","5714","31","3230","35",,"10","2249","159",,
"2020-11-09T00:00:00.000","5969","42","3247","34",,"15","2497","134",,
"2020-11-08T00:00:00.000","5405","17","3229","19",,"23","2000","117",,
"2020-11-07T00:00:00.000","5759","20","3319","35",,"8","2249","128",,
"2020-11-06T00:00:00.000","5973","23","3412","35",,"16","2328","159",,
"2020-11-05T00:00:00.000","5876","36","3476","35",,"24","2145","160",,
"2020-11-04T00:00:00.000","7621","26","5057","53",,"25","2282","178",,
"2020-11-03T00:00:00.000","5710","33","3299","35",,"29","2178","136",,
"2020-11-02T00:00:00.000","7471","32","4457","35",,"13","2758","176",,
"2020-11-01T00:00:00.000","6400","19","3417","26",,"15","2755","168",,
"2020-10-31T00:00:00.000","5213","18","3106","18",,"9","1951","111",,
"2020-10-30T00:00:00.000","6763","41","4112","39",,"22","2413","136",,
"2020-10-29T00:00:00.000","8145","39","5324","37",,"15","2549","181",,
"2020-10-28T00:00:00.000","6807","34","4272","42",,"17","2319","123",,
"2020-10-27T00:00:00.000","6680","35","4184","31",,"16","2301","113",,
"2020-10-26T00:00:00.000","7941","34","5050","33",,"23","2666","135",,
"2020-10-25T00:00:00.000","5120","14","2756","27",,"17","2175","131",,
"2020-10-24T00:00:00.000","5210","39","2910","8",,"14","2147","92",,
"2020-10-23T00:00:00.000","6212","36","3743","14",,"23","2297","99",,
"2020-10-22T00:00:00.000","5151","30","2852","13",,"22","2126","108",,
"2020-10-21T00:00:00.000","5308","42","2924","23",,"19","2212","88",,
"2020-10-20T00:00:00.000","5409","31","2956","12",,"23","2277","110",,
"2020-10-19T00:00:00.000","5067","44","2767","15",,"17","2148","76",,
"2020-10-18T00:00:00.000","3366","15","1577","6",,"20","1672","76",,
"2020-10-17T00:00:00.000","3274","24","1641","7",,"20","1521","61",,
"2020-10-16T00:00:00.000","3628","25","1785","20",,"14","1695","89",,
"2020-10-15T00:00:00.000","3058","25","1432","19",,"18","1515","49",,
"2020-10-14T00:00:00.000","2749","22","1284","10",,"10","1375","48",,
"2020-10-13T00:00:00.000","2382","20","1056","1",,"14","1259","32",,
"2020-10-12T00:00:00.000","2523","29","1050","9",,"12","1376","47",,
"2020-10-11T00:00:00.000","1407","11","474","5",,"12","870","35",,
"2020-10-10T00:00:00.000","1413","14","470","3",,"7","884","35",,
"2020-10-09T00:00:00.000","1483","7","504","6",,"13","910","43",,
"2020-10-08T00:00:00.000","1299","12","365","1",,"8","878","35",,
"2020-10-07T00:00:00.000","1094","8","310",,,"12","736","28",,
"2020-10-06T00:00:00.000","935","8","273","4",,"9","622","19",,
"2020-10-05T00:00:00.000","963","9","258",,,"5","670","21",,
"2020-10-04T00:00:00.000","613","2","112","1",,"8","479","11",,
"2020-10-03T00:00:00.000","635","4","136","1",,"13","466","15",,
"2020-10-02T00:00:00.000","634","11","168",,,"6","435","14",,
"2020-10-01T00:00:00.000","647","2","168",,,"5","461","11",,
"2020-09-30T00:00:00.000","398","3","87",,,"4","296","8",,
"2020-09-29T00:00:00.000","313","3","70",,,"5","230","5",,
"2020-09-28T00:00:00.000","359","2","72",,,"4","276","5",,
"2020-09-27T00:00:00.000","243","1","51",,,"4","184","3",,
"2020-09-26T00:00:00.000","213","1","51","1",,"1","156","3",,
"2020-09-25T00:00:00.000","239",,"43",,,"2","190","4",,
"2020-09-24T00:00:00.000","214","1","50",,,"2","157","4",,
"2020-09-23T00:00:00.000","242","1","49",,,"1","191",,,
"2020-09-22T00:00:00.000","236","3","51",,,"4","178",,,
"2020-09-21T00:00:00.000","239","1","54",,,"1","182","1",,
"2020-09-20T00:00:00.000","191","2","28","1",,"2","157","1",,
"2020-09-19T00:00:00.000","190","1","29",,,"1","154","5",,
"2020-09-18T00:00:00.000","207","1","45","1",,"5","155",,,
"2020-09-17T00:00:00.000","220",,"43",,,"5","171","1",,
"2020-09-16T00:00:00.000","196",,"36",,,"2","156","2",,
"2020-09-15T00:00:00.000","245","1","43",,,"2","196","3",,
