"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-06-22T00:00:00.000","2",,,,,"2",,,,
"2021-06-21T00:00:00.000","5",,,,,"5",,,,
"2021-06-20T00:00:00.000","8",,,,,"8",,,,
"2021-06-19T00:00:00.000","16",,,,,"16",,,,
"2021-06-18T00:00:00.000","14",,,,,"14",,,,
"2021-06-17T00:00:00.000","32",,,,,"30","2",,,
"2021-06-16T00:00:00.000","58",,,,,"58",,,,
"2021-06-15T00:00:00.000","47",,,,,"43","4",,,
"2021-06-14T00:00:00.000","75",,,,,"71","4",,,
"2021-06-13T00:00:00.000","54",,,,,"54",,,,
"2021-06-12T00:00:00.000","78",,"1",,,"77",,,,
"2021-06-11T00:00:00.000","82",,,,,"79","1","2",,
"2021-06-10T00:00:00.000","108",,,,,"97","11",,,
"2021-06-09T00:00:00.000","160",,,,,"136","24",,,
"2021-06-08T00:00:00.000","144",,"2",,,"113","29",,,
"2021-06-07T00:00:00.000","157",,"2",,,"126","29",,,
"2021-06-06T00:00:00.000","125",,,,,"103","21","1",,
"2021-06-05T00:00:00.000","181",,"1",,,"109","70","1",,
"2021-06-04T00:00:00.000","180",,"4",,,"115","60","1",,
"2021-06-03T00:00:00.000","200",,"10",,,"119","70","1",,
"2021-06-02T00:00:00.000","199",,"4",,,"119","76",,,
"2021-06-01T00:00:00.000","256",,"7",,,"109","140",,,
"2021-05-31T00:00:00.000","223",,"6",,,"66","149","2",,
"2021-05-30T00:00:00.000","173",,"6",,,"51","114","2",,
"2021-05-29T00:00:00.000","211",,"2",,,"48","160","1",,
"2021-05-28T00:00:00.000","252",,"9",,,"52","190","1",,
"2021-05-27T00:00:00.000","261",,"15",,,"38","205","3",,
"2021-05-26T00:00:00.000","298",,"19",,,"25","251","3",,
"2021-05-25T00:00:00.000","297",,"27",,,"24","242","4",,
"2021-05-24T00:00:00.000","352",,"19",,,"31","299","3",,
"2021-05-23T00:00:00.000","313",,"11",,,"23","279",,,
"2021-05-22T00:00:00.000","312",,"12",,,"14","285","1",,
"2021-05-21T00:00:00.000","352",,"20",,,"21","311",,,
"2021-05-20T00:00:00.000","415",,"47",,,"22","341","5",,
"2021-05-19T00:00:00.000","470",,"45",,,"24","398","3",,
"2021-05-18T00:00:00.000","509",,"47",,,"24","433","5",,
"2021-05-17T00:00:00.000","474",,"37",,,"19","411","7",,
"2021-05-16T00:00:00.000","404",,"14",,,"23","363","4",,
"2021-05-15T00:00:00.000","418",,"14",,,"19","379","6",,
"2021-05-14T00:00:00.000","503",,"18",,,"16","462","7",,
"2021-05-13T00:00:00.000","536",,"40","1",,"18","468","9",,
"2021-05-12T00:00:00.000","638",,"44",,,"21","556","17",,
"2021-05-11T00:00:00.000","612",,"37",,,"21","545","9",,
"2021-05-10T00:00:00.000","807",,"69","1",,"17","709","11",,
"2021-05-09T00:00:00.000","578",,"26",,,"17","527","8",,
"2021-05-08T00:00:00.000","632",,"29",,,"12","583","8",,
"2021-05-07T00:00:00.000","750",,"68",,,"15","663","4",,
"2021-05-06T00:00:00.000","785",,"83",,,"14","684","4",,
"2021-05-05T00:00:00.000","991",,"67",,,"21","893","10",,
"2021-05-04T00:00:00.000","977",,"89",,,"14","868","6",,
"2021-05-03T00:00:00.000","1087",,"90","1",,"15","961","20",,
"2021-05-02T00:00:00.000","823",,"33",,,"12","765","13",,
"2021-05-01T00:00:00.000","999",,"39",,,"17","924","19",,
"2021-04-30T00:00:00.000","927",,"68",,,"12","833","14",,
"2021-04-29T00:00:00.000","997",,"92","1",,"11","880","13",,
"2021-04-28T00:00:00.000","1097",,"110",,,"9","964","14",,
"2021-04-27T00:00:00.000","1282",,"105","2",,"22","1124","29",,
"2021-04-26T00:00:00.000","1354",,"103",,,"19","1208","24",,
"2021-04-25T00:00:00.000","1198",,"49","1",,"13","1116","19",,
"2021-04-24T00:00:00.000","1189",,"47",,,"11","1115","16",,
"2021-04-23T00:00:00.000","1364",,"87",,,"9","1246","22",,
"2021-04-22T00:00:00.000","1323",,"119",,,"10","1171","23",,
"2021-04-21T00:00:00.000","1466",,"115",,,"11","1318","22",,
"2021-04-20T00:00:00.000","1513",,"132","2",,"15","1333","31",,
"2021-04-19T00:00:00.000","1514",,"124","3",,"9","1353","25",,
"2021-04-18T00:00:00.000","1233",,"46",,,"12","1149","26",,
"2021-04-17T00:00:00.000","1229",,"61","1",,"21","1129","17",,
"2021-04-16T00:00:00.000","1299",,"85",,,"16","1155","43",,
"2021-04-15T00:00:00.000","1359",,"118",,,"13","1201","27",,
"2021-04-14T00:00:00.000","1395",,"135",,,"13","1220","27",,
"2021-04-13T00:00:00.000","1545",,"131",,,"18","1368","28",,
"2021-04-12T00:00:00.000","1587",,"122","1",,"18","1410","36",,
"2021-04-11T00:00:00.000","1220",,"51","1",,"7","1135","26",,
"2021-04-10T00:00:00.000","1454",,"100",,,"16","1312","26",,
