"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-03-09T00:00:00.000","49",,,,,"49",,,,
"2021-03-08T00:00:00.000","260",,,,,"258","1","1",,
"2021-03-07T00:00:00.000","331",,,,,"331",,,,
"2021-03-06T00:00:00.000","466",,,,,"461","3","2",,
"2021-03-05T00:00:00.000","857",,,,,"850","6","1",,
"2021-03-04T00:00:00.000","1129",,,,,"1121","5","3",,
"2021-03-03T00:00:00.000","1662",,,,,"1645","7","10",,
"2021-03-02T00:00:00.000","1892",,"2",,,"1870","13","7",,
"2021-03-01T00:00:00.000","2626",,"1",,,"2597","15","13",,
"2021-02-28T00:00:00.000","1631",,,,,"1607","10","14",,
"2021-02-27T00:00:00.000","1720",,"1",,,"1696","18","5",,
"2021-02-26T00:00:00.000","2009",,,,,"1965","29","15",,
"2021-02-25T00:00:00.000","2059",,"4",,,"1979","39","37",,
"2021-02-24T00:00:00.000","2138",,"4","1",,"2053","55","25",,
"2021-02-23T00:00:00.000","2237",,"8",,,"2071","133","25",,
"2021-02-22T00:00:00.000","2514",,"10",,,"2240","228","36",,
"2021-02-21T00:00:00.000","1951",,"5",,,"1700","223","23",,
"2021-02-20T00:00:00.000","2023",,"4",,,"1694","298","27",,
"2021-02-19T00:00:00.000","1963",,"26",,,"1588","323","26",,
"2021-02-18T00:00:00.000","1869",,"41",,,"1384","401","43",,
"2021-02-17T00:00:00.000","1919",,"84",,,"1331","481","23",,
"2021-02-16T00:00:00.000","1781",,"96",,,"1076","571","38",,
"2021-02-15T00:00:00.000","1836",,"79","2",,"1040","682","33",,
"2021-02-14T00:00:00.000","1464",,"44",,,"669","718","33",,
"2021-02-13T00:00:00.000","1347",,"117",,,"532","681","17",,
"2021-02-12T00:00:00.000","1327",,"94",,,"402","809","22",,
"2021-02-11T00:00:00.000","1254",,"64",,,"294","859","37",,
"2021-02-10T00:00:00.000","1488",,"90",,,"293","1078","27",,
"2021-02-09T00:00:00.000","1408",,"121",,,"223","1042","22",,
"2021-02-08T00:00:00.000","1463",,"104","1",,"180","1133","45",,
"2021-02-07T00:00:00.000","1133",,"42",,,"133","935","23",,
"2021-02-06T00:00:00.000","1210",,"61","2",,"149","969","29",,
"2021-02-05T00:00:00.000","1320",,"74",,,"139","1076","31",,
"2021-02-04T00:00:00.000","1242",,"84",,,"100","1021","37",,
"2021-02-03T00:00:00.000","1196",,"100","1",,"89","972","34",,
"2021-02-02T00:00:00.000","1210",,"85",,,"98","1000","27",,
"2021-02-01T00:00:00.000","1488",,"73",,,"121","1245","49",,
"2021-01-31T00:00:00.000","890",,"26",,,"43","796","25",,
"2021-01-30T00:00:00.000","892",,"51",,,"49","765","27",,
"2021-01-29T00:00:00.000","1011",,"62",,,"57","856","36",,
"2021-01-28T00:00:00.000","1092",,"93",,,"67","900","32",,
"2021-01-27T00:00:00.000","1129",,"100",,,"48","946","35",,
"2021-01-26T00:00:00.000","1076",,"88",,,"44","911","33",,
"2021-01-25T00:00:00.000","1224",,"84",,,"48","1058","34",,
"2021-01-24T00:00:00.000","952",,"37",,,"44","834","37",,
"2021-01-23T00:00:00.000","1020",,"49",,,"40","903","28",,
"2021-01-22T00:00:00.000","1074",,"51",,,"45","938","40",,
"2021-01-21T00:00:00.000","977",,"73","1",,"33","841","29",,
"2021-01-20T00:00:00.000","1191",,"156","2",,"50","941","42",,
"2021-01-19T00:00:00.000","1220",,"141",,,"31","1009","39",,
"2021-01-18T00:00:00.000","1189",,"152","4",,"39","942","52",,
"2021-01-17T00:00:00.000","844",,"71",,,"22","717","34",,
"2021-01-16T00:00:00.000","901",,"104",,,"14","745","38",,
"2021-01-15T00:00:00.000","1086",,"189","1",,"28","835","33",,
"2021-01-14T00:00:00.000","1083",,"218","4",,"24","784","53",,
"2021-01-13T00:00:00.000","1134",,"252",,,"32","813","37",,
"2021-01-12T00:00:00.000","1238",,"230","1",,"33","922","52",,
"2021-01-11T00:00:00.000","1225",,"202","1",,"32","949","41",,
"2021-01-10T00:00:00.000","928",,"125","3",,"21","748","31",,
"2021-01-09T00:00:00.000","1089",,"187","1",,"24","830","47",,
"2021-01-08T00:00:00.000","1224",,"242","3",,"30","897","52",,
"2021-01-07T00:00:00.000","1329",,"261","1",,"23","996","48",,
"2021-01-06T00:00:00.000","1172",,"224",,,"23","888","37",,
"2021-01-05T00:00:00.000","1998",,"697",,,"31","1214","56",,
"2021-01-04T00:00:00.000","2062",,"500","4",,"28","1458","72",,
"2021-01-03T00:00:00.000","1383",,"227","1",,"13","1101","41",,
"2021-01-02T00:00:00.000","1373",,"300",,,"15","1001","57",,
"2021-01-01T00:00:00.000","1471",,"171",,,"20","1240","40",,
"2020-12-31T00:00:00.000","1632",,"545","5",,"16","1031","35",,
"2020-12-30T00:00:00.000","1663",,"535","2",,"15","1062","49",,
"2020-12-29T00:00:00.000","1694",,"556","3",,"20","1054","61",,
"2020-12-28T00:00:00.000","1553",,"289","3",,"12","1198","51",,
"2020-12-27T00:00:00.000","1248",,"214","1",,"15","987","31",,
"2020-12-26T00:00:00.000","1062",,"114","1",,"18","898","31",,
"2020-12-25T00:00:00.000","992",,"104",,,"12","848","28",,
"2020-12-24T00:00:00.000","1230",,"247","1",,"23","923","36",,
"2020-12-23T00:00:00.000","1432",,"332","6",,"24","1004","66",,
"2020-12-22T00:00:00.000","1324",,"265","2",,"16","992","49",,
"2020-12-21T00:00:00.000","1402",,"253","2",,"16","1083","48",,
"2020-12-20T00:00:00.000","994",,"124",,,"9","824","37",,
"2020-12-19T00:00:00.000","955",,"159",,,"10","737","49",,
"2020-12-18T00:00:00.000","1226",,"299","1",,"21","853","52",,
"2020-12-17T00:00:00.000","1183",,"293","1",,"16","827","46",,
"2020-12-16T00:00:00.000","1249",,"270","1",,"15","921","42",,
"2020-12-15T00:00:00.000","1370",,"287","12",,"17","1010","44",,
"2020-12-14T00:00:00.000","1482",,"311","3",,"26","1101","41",,
"2020-12-13T00:00:00.000","948",,"85",,,"17","807","39",,
"2020-12-12T00:00:00.000","1135",,"129","2",,"12","951","41",,
"2020-12-11T00:00:00.000","1447",,"239","2",,"23","1113","70",,
"2020-12-10T00:00:00.000","1470",,"281","9",,"20","1102","58",,
"2020-12-09T00:00:00.000","1530",,"224","3",,"22","1224","57",,
"2020-12-08T00:00:00.000","1019",,"66",,,"9","913","31",,
"2020-12-07T00:00:00.000","1875","25","972","9",,"18","795","56",,
"2020-12-06T00:00:00.000","1186","7","610","1",,"8","520","40",,
"2020-12-05T00:00:00.000","1403","11","682","4",,"11","658","37",,
"2020-12-04T00:00:00.000","2200","12","1123","31",,"11","859","164",,
"2020-12-03T00:00:00.000","1713","12","895","9",,"10","735","52",,
"2020-12-02T00:00:00.000","1871","16","1067","14",,"4","726","44",,
"2020-12-01T00:00:00.000","2321","27","1250","14",,"24","933","73",,
"2020-11-30T00:00:00.000","2062","19","1221","10",,"16","733","63",,
"2020-11-29T00:00:00.000","1609","7","1031","4",,"9","510","48",,
"2020-11-28T00:00:00.000","2419","5","1558","2",,"13","784","57",,
"2020-11-27T00:00:00.000","2329","11","1447","6",,"15","783","67",,
"2020-11-26T00:00:00.000","2769","23","1869","12",,"11","771","83",,
"2020-11-25T00:00:00.000","2507","25","1640","13",,"15","757","57",,
"2020-11-24T00:00:00.000","3017","19","2086","11",,"15","821","65",,
"2020-11-23T00:00:00.000","3087","31","2023","16",,"19","906","92",,
"2020-11-22T00:00:00.000","2352","6","1516","14",,"10","760","46",,
"2020-11-21T00:00:00.000","3296","11","2394","11",,"13","788","79",,
"2020-11-20T00:00:00.000","3670","26","2478","26",,"13","1026","101",,
"2020-11-19T00:00:00.000","4042","25","3035","18",,"16","872","76",,
"2020-11-18T00:00:00.000","4352","23","3086","17",,"21","1102","103",,
"2020-11-17T00:00:00.000","3650","38","2460","22",,"16","1030","84",,
"2020-11-16T00:00:00.000","4969","35","3523","24",,"25","1266","96",,
"2020-11-15T00:00:00.000","4379","11","2863","18",,"16","1343","128",,
"2020-11-14T00:00:00.000","5140","10","3785","37",,"25","1196","87",,
"2020-11-13T00:00:00.000","5313","24","3559","27",,"23","1555","125",,
"2020-11-12T00:00:00.000","4884","37","3333","37",,"27","1341","109",,
"2020-11-11T00:00:00.000","5049","27","3294","25",,"22","1562","119",,
"2020-11-10T00:00:00.000","5793","33","3764","37",,"26","1776","157",,
"2020-11-09T00:00:00.000","6048","56","3838","34",,"33","1955","132",,
"2020-11-08T00:00:00.000","5435","22","3551","22",,"32","1696","112",,
"2020-11-07T00:00:00.000","5861","28","3839","36",,"16","1815","127",,
"2020-11-06T00:00:00.000","6022","34","3829","36",,"25","1940","158",,
"2020-11-05T00:00:00.000","5946","40","3863","35",,"33","1815","160",,
"2020-11-04T00:00:00.000","7694","30","5440","53",,"34","1961","176",,
"2020-11-03T00:00:00.000","5751","42","3599","35",,"47","1894","134",,
"2020-11-02T00:00:00.000","7524","43","4805","35",,"32","2432","177",,
"2020-11-01T00:00:00.000","6482","21","3757","26",,"30","2482","166",,
