"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-03-30T00:00:00.000","28",,,,,"28",,,,
"2021-03-29T00:00:00.000","176",,,,,"176",,,,
"2021-03-28T00:00:00.000","235",,,,,"233","2",,,
"2021-03-27T00:00:00.000","359",,,,,"357","2",,,
"2021-03-26T00:00:00.000","570",,,,,"566","3","1",,
"2021-03-25T00:00:00.000","843",,"1",,,"837","3","2",,
"2021-03-24T00:00:00.000","1183",,,"1",,"1158","17","7",,
"2021-03-23T00:00:00.000","1393",,,,,"1375","9","9",,
"2021-03-22T00:00:00.000","1760",,,,,"1730","19","11",,
"2021-03-21T00:00:00.000","1645",,,,,"1624","8","13",,
"2021-03-20T00:00:00.000","1802",,"1","1",,"1768","20","12",,
"2021-03-19T00:00:00.000","1933",,"1","1",,"1880","38","13",,
"2021-03-18T00:00:00.000","2061",,"7","2",,"1973","52","27",,
"2021-03-17T00:00:00.000","2341",,"5",,,"2215","94","27",,
"2021-03-16T00:00:00.000","2433",,"10","2",,"2220","171","30",,
"2021-03-15T00:00:00.000","3014",,"21","1",,"2718","225","49",,
"2021-03-14T00:00:00.000","2543",,"12",,,"2185","299","47",,
"2021-03-13T00:00:00.000","2544",,"34","1",,"2085","377","47",,
"2021-03-12T00:00:00.000","2914",,"69",,,"2343","454","48",,
"2021-03-11T00:00:00.000","2878",,"110","1",,"2107","620","40",,
"2021-03-10T00:00:00.000","3528",,"191",,,"2326","938","73",,
"2021-03-09T00:00:00.000","3236",,"230","2",,"1971","983","50",,
"2021-03-08T00:00:00.000","3792",,"222","1",,"2028","1462","79",,
"2021-03-07T00:00:00.000","2946",,"95",,,"1421","1370","60",,
"2021-03-06T00:00:00.000","3152",,"268","1",,"1198","1645","40",,
"2021-03-05T00:00:00.000","3624",,"404","1",,"1122","2008","89",,
"2021-03-04T00:00:00.000","3292",,"372","1",,"806","2038","75",,
"2021-03-03T00:00:00.000","3513",,"417","1",,"715","2322","58",,
"2021-03-02T00:00:00.000","3474",,"475","1",,"573","2362","63",,
"2021-03-01T00:00:00.000","4179",,"391","1",,"619","3082","86",,
"2021-02-28T00:00:00.000","2336",,"119",,,"286","1869","62",,
"2021-02-27T00:00:00.000","2558",,"302",,,"261","1939","56",,
"2021-02-26T00:00:00.000","2945",,"366","1",,"292","2222","64",,
"2021-02-25T00:00:00.000","2856",,"364",,,"239","2171","82",,
"2021-02-24T00:00:00.000","2814",,"307","1",,"194","2253","59",,
