"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-02-09T00:00:00.000","9",,"1",,,"8",,,,
"2021-02-08T00:00:00.000","62",,"1",,,"59","1","1",,
"2021-02-07T00:00:00.000","90",,,"1",,"88","1",,,
"2021-02-06T00:00:00.000","123",,"7",,,"112","3","1",,
"2021-02-05T00:00:00.000","243",,"30",,,"206","7",,,
"2021-02-04T00:00:00.000","284",,"32",,,"242","5","5",,
"2021-02-03T00:00:00.000","252",,"9","1",,"234","3","5",,
"2021-02-02T00:00:00.000","305",,"18","1",,"279","3","4",,
"2021-02-01T00:00:00.000","436",,"12","2",,"409","5","8",,
"2021-01-31T00:00:00.000","306",,"9","1",,"291","3","2",,
"2021-01-30T00:00:00.000","257",,"4",,,"242","5","6",,
"2021-01-29T00:00:00.000","361",,"38",,,"293","19","11",,
"2021-01-28T00:00:00.000","434",,"57",,,"348","18","11",,
"2021-01-27T00:00:00.000","427",,"70","4",,"320","23","10",,
"2021-01-26T00:00:00.000","467",,"93","1",,"325","33","15",,
"2021-01-25T00:00:00.000","521",,"109","1",,"330","70","11",,
"2021-01-24T00:00:00.000","440",,"80","1",,"275","67","17",,
"2021-01-23T00:00:00.000","549",,"143","1",,"325","67","13",,
"2021-01-22T00:00:00.000","671",,"235","2",,"305","107","22",,
"2021-01-21T00:00:00.000","559",,"189","4",,"237","115","14",,
"2021-01-20T00:00:00.000","712",,"293","2",,"254","140","23",,
"2021-01-19T00:00:00.000","794",,"375","2",,"244","147","26",,
"2021-01-18T00:00:00.000","912",,"482","9",,"188","197","36",,
"2021-01-17T00:00:00.000","625",,"272",,,"129","201","23",,
"2021-01-16T00:00:00.000","851",,"488","1",,"90","242","30",,
"2021-01-15T00:00:00.000","1043",,"661","5",,"111","240","26",,
"2021-01-14T00:00:00.000","995",,"642","17",,"78","226","32",,
"2021-01-13T00:00:00.000","1055",,"742","2",,"60","222","29",,
"2021-01-12T00:00:00.000","1267",,"927","1",,"60","238","41",,
"2021-01-11T00:00:00.000","1266",,"852","6",,"68","307","33",,
"2021-01-10T00:00:00.000","887",,"536","5",,"66","254","26",,
"2021-01-09T00:00:00.000","1165",,"748","4",,"59","313","41",,
"2021-01-08T00:00:00.000","1354",,"920","8",,"76","313","37",,
"2021-01-07T00:00:00.000","1496",,"1083","6",,"47","321","39",,
"2021-01-06T00:00:00.000","1106",,"715",,,"45","312","34",,
"2021-01-05T00:00:00.000","1985",,"1489",,,"48","397","51",,
"2021-01-04T00:00:00.000","2036",,"1490","25",,"58","409","54",,
"2021-01-03T00:00:00.000","1300",,"872","2",,"36","353","37",,
"2021-01-02T00:00:00.000","1387",,"933","3",,"45","360","46",,
"2021-01-01T00:00:00.000","1293",,"707","2",,"57","494","33",,
"2020-12-31T00:00:00.000","1711",,"1227","6",,"37","412","29",,
"2020-12-30T00:00:00.000","1750",,"1266","6",,"29","407","42",,
"2020-12-29T00:00:00.000","1821",,"1234","12",,"30","488","57",,
"2020-12-28T00:00:00.000","1579",,"1038","11",,"29","459","42",,
"2020-12-27T00:00:00.000","1146",,"719","2",,"18","381","26",,
"2020-12-26T00:00:00.000","1366",,"935","3",,"20","378","30",,
"2020-12-25T00:00:00.000","877",,"464","2",,"21","364","26",,
"2020-12-24T00:00:00.000","1248",,"820","3",,"16","378","31",,
"2020-12-23T00:00:00.000","1763",,"1256","11",,"30","407","59",,
"2020-12-22T00:00:00.000","1583",,"1145","3",,"15","381","39",,
"2020-12-21T00:00:00.000","1643",,"1183","5",,"19","401","35",,
"2020-12-20T00:00:00.000","1022",,"647","2",,"13","325","35",,
"2020-12-19T00:00:00.000","1044",,"729","2",,"8","265","40",,
"2020-12-18T00:00:00.000","1432",,"1081","5",,"18","283","45",,
"2020-12-17T00:00:00.000","1543",,"1182","6",,"5","313","37",,
"2020-12-16T00:00:00.000","1334",,"991","6",,"8","296","33",,
"2020-12-15T00:00:00.000","1539",,"1168","15",,"9","314","33",,
"2020-12-14T00:00:00.000","1684",,"1284","9",,"9","352","30",,
"2020-12-13T00:00:00.000","1097",,"754","6",,"5","301","31",,
"2020-12-12T00:00:00.000","1098",,"698","4",,"8","351","37",,
"2020-12-11T00:00:00.000","1853",,"1357","7",,"9","423","57",,
"2020-12-10T00:00:00.000","1748",,"1231","12",,"13","440","52",,
"2020-12-09T00:00:00.000","1809",,"1263","10",,"10","476","50",,
"2020-12-08T00:00:00.000","1232",,"846","1",,"2","358","25",,
"2020-12-07T00:00:00.000","1851","27","1236","13",,"17","515","43",,
"2020-12-06T00:00:00.000","1122","7","718","3",,"4","356","34",,
"2020-12-05T00:00:00.000","1353","14","854","4",,"11","437","33",,
"2020-12-04T00:00:00.000","2477","15","1666","36",,"14","585","161",,
"2020-12-03T00:00:00.000","1668","15","1085","9",,"6","503","50",,
"2020-12-02T00:00:00.000","1895","17","1287","15",,"3","532","41",,
"2020-12-01T00:00:00.000","2270","25","1441","15",,"17","707","65",,
"2020-11-30T00:00:00.000","2051","27","1379","10",,"8","564","63",,
"2020-11-29T00:00:00.000","1609","6","1127","5",,"6","417","48",,
"2020-11-28T00:00:00.000","2727","5","2062","3",,"11","593","53",,
"2020-11-27T00:00:00.000","2536","13","1835","8",,"9","605","66",,
"2020-11-26T00:00:00.000","3114","27","2396","10",,"10","588","83",,
"2020-11-25T00:00:00.000","2655","22","1964","14",,"11","589","55",,
"2020-11-24T00:00:00.000","3209","17","2484","13",,"6","628","61",,
"2020-11-23T00:00:00.000","3546","35","2690","17",,"12","702","90",,
"2020-11-22T00:00:00.000","2421","8","1707","14",,"12","637","43",,
"2020-11-21T00:00:00.000","3782","15","3032","17",,"8","633","77",,
"2020-11-20T00:00:00.000","4109","26","3142","26",,"5","810","100",,
"2020-11-19T00:00:00.000","4340","29","3478","18",,"13","729","73",,
"2020-11-18T00:00:00.000","5122","34","4051","19",,"16","903","99",,
"2020-11-17T00:00:00.000","4040","38","3035","21",,"13","851","82",,
"2020-11-16T00:00:00.000","5551","38","4335","25",,"16","1046","91",,
"2020-11-15T00:00:00.000","5600","18","4296","26",,"11","1124","125",,
"2020-11-14T00:00:00.000","5511","13","4334","37",,"17","1027","83",,
"2020-11-13T00:00:00.000","6524","29","5044","34",,"16","1278","123",,
"2020-11-12T00:00:00.000","5536","37","4201","39",,"17","1137","105",,
"2020-11-11T00:00:00.000","5799","24","4293","27",,"22","1321","112",,
"2020-11-10T00:00:00.000","7139","41","5409","40",,"16","1481","152",,
"2020-11-09T00:00:00.000","7233","60","5315","37",,"21","1673","127",,
"2020-11-08T00:00:00.000","6103","22","4418","22",,"24","1511","106",,
"2020-11-07T00:00:00.000","6622","27","4823","40",,"12","1597","123",,
"2020-11-06T00:00:00.000","7085","37","5122","39",,"18","1713","156",,
"2020-11-05T00:00:00.000","6873","48","4978","37",,"29","1624","157",,
"2020-11-04T00:00:00.000","8509","35","6455","56",,"27","1764","172",,
"2020-11-03T00:00:00.000","6505","33","4575","37",,"34","1693","133",,
"2020-11-02T00:00:00.000","8464","41","6115","38",,"19","2081","170",,
"2020-11-01T00:00:00.000","7101","23","4773","29",,"28","2086","162",,
"2020-10-31T00:00:00.000","5836","26","4255","22",,"16","1412","105",,
"2020-10-30T00:00:00.000","7598","47","5633","43",,"26","1717","132",,
"2020-10-29T00:00:00.000","8912","46","6802","41",,"20","1828","175",,
"2020-10-28T00:00:00.000","7300","42","5268","41",,"22","1811","116",,
"2020-10-27T00:00:00.000","7095","58","5030","31",,"21","1845","110",,
"2020-10-26T00:00:00.000","8323","48","6068","35",,"28","2013","131",,
"2020-10-25T00:00:00.000","5269","21","3376","30",,"18","1695","129",,
"2020-10-24T00:00:00.000","5394","48","3581","8",,"19","1650","88",,
"2020-10-23T00:00:00.000","6422","47","4493","17",,"35","1736","94",,
"2020-10-22T00:00:00.000","5316","41","3594","18",,"34","1530","99",,
"2020-10-21T00:00:00.000","5457","56","3669","24",,"27","1600","81",,
"2020-10-20T00:00:00.000","5535","37","3692","12",,"39","1651","104",,
"2020-10-19T00:00:00.000","5203","49","3522","16",,"33","1511","72",,
"2020-10-18T00:00:00.000","3372","19","2017","6",,"30","1225","75",,
"2020-10-17T00:00:00.000","3293","26","2083","7",,"36","1083","58",,
"2020-10-16T00:00:00.000","3739","31","2398","22",,"25","1176","87",,
"2020-10-15T00:00:00.000","3117","31","1967","19",,"33","1022","45",,
"2020-10-14T00:00:00.000","2796","26","1800","11",,"22","891","46",,
"2020-10-13T00:00:00.000","2463","24","1601","3",,"24","780","31",,
"2020-10-12T00:00:00.000","2608","36","1688","9",,"32","797","46",,
"2020-10-11T00:00:00.000","1425","17","767","5",,"17","584","35",,
"2020-10-10T00:00:00.000","1466","17","854","3",,"17","540","35",,
"2020-10-09T00:00:00.000","1552","10","929","9",,"21","541","42",,
"2020-10-08T00:00:00.000","1327","14","729","1",,"18","534","31",,
"2020-10-07T00:00:00.000","1109","14","602","1",,"18","447","27",,
"2020-10-06T00:00:00.000","931","10","472","6",,"18","406","19",,
"2020-10-05T00:00:00.000","981","12","519",,,"9","423","18",,
"2020-10-04T00:00:00.000","606","4","254","2",,"12","324","10",,
"2020-10-03T00:00:00.000","631","7","267","1",,"16","325","15",,
"2020-10-02T00:00:00.000","658","11","328",,,"12","294","13",,
"2020-10-01T00:00:00.000","643","2","280","1",,"9","341","10",,
"2020-09-30T00:00:00.000","406","5","162",,,"7","225","7",,
"2020-09-29T00:00:00.000","316","6","125","1",,"5","175","4",,
"2020-09-28T00:00:00.000","344","4","126",,,"11","199","4",,
"2020-09-27T00:00:00.000","236","3","78",,,"16","137","2",,
"2020-09-26T00:00:00.000","207","1","72","1",,"9","121","3",,
"2020-09-25T00:00:00.000","238","2","84",,,"4","144","4",,
"2020-09-24T00:00:00.000","225","2","85",,,"8","126","4",,
"2020-09-23T00:00:00.000","239","3","78",,,"5","153",,,
"2020-09-22T00:00:00.000","233","7","86",,,"8","132",,,
"2020-09-21T00:00:00.000","228","4","84",,,"6","133","1",,
"2020-09-20T00:00:00.000","190","5","43","1",,"8","131","2",,
"2020-09-19T00:00:00.000","179","2","51",,,"4","117","5",,
"2020-09-18T00:00:00.000","206","3","61","1",,"13","128",,,
"2020-09-17T00:00:00.000","210","2","58",,,"10","139","1",,
"2020-09-16T00:00:00.000","194",,"51",,,"3","138","2",,
"2020-09-15T00:00:00.000","236","4","53","1",,"6","169","3",,
"2020-09-14T00:00:00.000","232","3","71",,,"15","140","3",,
"2020-09-13T00:00:00.000","137",,"29",,,"3","103","2",,
"2020-09-12T00:00:00.000","128","2","28",,,"1","95","2",,
"2020-09-11T00:00:00.000","174","1","53",,,"5","113","2",,
"2020-09-10T00:00:00.000","180","3","55","1",,"3","116","2",,
"2020-09-09T00:00:00.000","151","2","37",,,"10","101","1",,
"2020-09-08T00:00:00.000","198","6","69",,,"5","117","1",,
"2020-09-07T00:00:00.000","195","3","51",,,"6","130","5",,
"2020-09-06T00:00:00.000","117","1","29",,,,"87",,,
"2020-09-05T00:00:00.000","138","2","24",,,"1","109","2",,
"2020-09-04T00:00:00.000","164","2","39",,,"3","119","1",,
"2020-09-03T00:00:00.000","160","2","30","1",,"4","121","2",,
"2020-09-02T00:00:00.000","157","1","46",,,"8","102",,,
"2020-09-01T00:00:00.000","202","3","42",,,"7","144","6",,
"2020-08-31T00:00:00.000","164","2","40","1",,"7","112","2",,
"2020-08-30T00:00:00.000","122","1","29","1",,"2","89",,,
"2020-08-29T00:00:00.000","109","2","18",,,"6","82","1",,
"2020-08-28T00:00:00.000","166","5","53",,,"5","100","3",,
"2020-08-27T00:00:00.000","160","2","47",,,"2","107","2",,
"2020-08-26T00:00:00.000","203","2","49",,,"6","146",,,
"2020-08-25T00:00:00.000","209","4","33",,,"3","163","6",,
"2020-08-24T00:00:00.000","219","4","42",,,"5","159","9",,
"2020-08-23T00:00:00.000","165","7","23",,,"10","122","3",,
"2020-08-22T00:00:00.000","173","2","30",,,"4","135","2",,
"2020-08-21T00:00:00.000","169","1","34",,,"2","130","2",,
"2020-08-20T00:00:00.000","156","4","32",,,"11","109",,,
"2020-08-19T00:00:00.000","139","3","20","1",,"8","106","1",,
"2020-08-18T00:00:00.000","138","3","20","1",,"8","103","3",,
"2020-08-17T00:00:00.000","129","2","12",,,"6","107","2",,
"2020-08-16T00:00:00.000","89","2","18","1",,,"66","2",,
"2020-08-15T00:00:00.000","90","2","9",,,"4","75",,,
"2020-08-14T00:00:00.000","72",,"9",,,"8","54","1",,
