"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2022-02-16T00:00:00.000","7",,"5",,,"2",,,,
"2022-02-15T00:00:00.000","221",,"10",,,"210","1",,,
"2022-02-14T00:00:00.000","1046",,"14",,,"1031","1",,,
"2022-02-13T00:00:00.000","1563",,"8",,,"1555",,,,
"2022-02-12T00:00:00.000","1725",,"13",,,"1711",,"1",,
"2022-02-11T00:00:00.000","2247",,"14",,,"2230","2","1",,
"2022-02-10T00:00:00.000","2584",,"12",,,"2569","2","1",,
"2022-02-09T00:00:00.000","3003",,"11",,,"2985","7",,,
"2022-02-08T00:00:00.000","3323",,"9",,,"3307","5","2",,
"2022-02-07T00:00:00.000","3798",,"8",,,"3776","12","2",,
"2022-02-06T00:00:00.000","3625",,"10",,,"3536","73","6",,
"2022-02-05T00:00:00.000","3610",,"10",,,"3368","224","8",,
"2022-02-04T00:00:00.000","3848",,"16",,,"3311","518","3",,
"2022-02-03T00:00:00.000","4462",,"25",,,"3355","1069","13",,
"2022-02-02T00:00:00.000","5123",,"14",,,"3077","2022","10",,
"2022-02-01T00:00:00.000","6341",,"18",,,"2912","3400","11",,
"2022-01-31T00:00:00.000","6114",,"17",,,"2034","4051","12",,
"2022-01-30T00:00:00.000","5563",,"22",,,"1520","4008","13",,
"2022-01-29T00:00:00.000","5527",,"13",,,"1263","4239","11","1",
"2022-01-28T00:00:00.000","6450",,"18",,,"1042","5372","17","1",
"2022-01-27T00:00:00.000","7298",,"17","1",,"956","6295","28","1",
"2022-01-26T00:00:00.000","8619",,"10",,,"865","7718","26",,
"2022-01-25T00:00:00.000","9518",,"10",,,"728","8757","22","1",
"2022-01-24T00:00:00.000","10779",,"11",,,"662","10070","35","1",
"2022-01-23T00:00:00.000","9679",,"14",,,"379","9264","22",,
"2022-01-22T00:00:00.000","9585",,"7",,,"259","9304","13","2",
"2022-01-21T00:00:00.000","10599",,"11",,,"208","10348","30","2",
"2022-01-20T00:00:00.000","11611",,"14","1",,"214","11348","32","2",
"2022-01-19T00:00:00.000","12025",,"13",,,"172","11801","35","4",
"2022-01-18T00:00:00.000","13379",,"16",,,"196","13129","36","2",
"2022-01-17T00:00:00.000","14631",,"31",,,"180","14375","42","3",
"2022-01-16T00:00:00.000","13002",,"14",,,"163","12788","35","2",
"2022-01-15T00:00:00.000","12205",,"10","1",,"142","12001","47","4",
"2022-01-14T00:00:00.000","12774",,"6",,,"191","12503","62","12",
"2022-01-13T00:00:00.000","13105",,"9",,,"172","12859","52","13",
"2022-01-12T00:00:00.000","13074",,"4",,,"169","12833","57","11",
"2022-01-11T00:00:00.000","14267",,"1",,,"193","13999","59","15",
"2022-01-10T00:00:00.000","16528",,"3",,,"211","16225","73","16",
"2022-01-09T00:00:00.000","13921",,"5",,,"166","13703","45","2",
"2022-01-08T00:00:00.000","13270",,"5",,,"175","13008","67","15",
"2022-01-07T00:00:00.000","14840",,"8",,,"186","14552","76","18",
"2022-01-06T00:00:00.000","13890",,"11","1",,"185","13627","60","6",
"2022-01-05T00:00:00.000","16399",,"12",,,"223","16080","65","19",
"2022-01-04T00:00:00.000","18770",,"25",,,"222","18445","61","17",
"2022-01-03T00:00:00.000","22656",,"77",,,"257","22223","76","23",
"2022-01-02T00:00:00.000","16609",,"56",,,"196","16283","67","7",
"2022-01-01T00:00:00.000","19638",,"98",,,"215","19257","65","3",
"2021-12-31T00:00:00.000","10842",,"101",,,"147","10538","37","19",
"2021-12-30T00:00:00.000","13947",,"187",,,"156","13533","49","22",
"2021-12-29T00:00:00.000","16516",,"261",,,"193","15994","50","18",
"2021-12-28T00:00:00.000","19843",,"324",,,"199","19245","62","13",
"2021-12-27T00:00:00.000","19765",,"364",,,"174","19173","46","8",
"2021-12-26T00:00:00.000","14016",,"263",,,"129","13573","49","2",
"2021-12-25T00:00:00.000","10067",,"205",,,"95","9738","29",,
"2021-12-24T00:00:00.000","10048",,"173",,,"85","9751","37","2",
"2021-12-23T00:00:00.000","8652",,"217",,,"89","8300","34","12",
"2021-12-22T00:00:00.000","7694",,"190","1",,"86","7389","24","4",
"2021-12-21T00:00:00.000","7377",,"185",,,"77","7077","35","3",
"2021-12-20T00:00:00.000","6547",,"189",,,"60","6257","37","4",
"2021-12-19T00:00:00.000","4539",,"99",,,"43","4369","26","2",
