"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-08-03T00:00:00.000","10",,,,,"10",,,,
"2021-08-02T00:00:00.000","43",,,,,"43",,,,
"2021-08-01T00:00:00.000","58",,,,,"58",,,,
"2021-07-31T00:00:00.000","94",,,,,"94",,,,
"2021-07-30T00:00:00.000","109",,,,,"108","1",,,
"2021-07-29T00:00:00.000","129",,,,,"129",,,,
"2021-07-28T00:00:00.000","226",,,,,"225","1",,,
"2021-07-27T00:00:00.000","271",,,,,"270",,"1",,
"2021-07-26T00:00:00.000","299",,,,,"298","1",,,
"2021-07-25T00:00:00.000","315",,,,,"312","3",,,
"2021-07-24T00:00:00.000","281",,,,,"280","1",,,
"2021-07-23T00:00:00.000","331",,,,,"329","2",,,
"2021-07-22T00:00:00.000","319",,,,,"306","13",,,
"2021-07-21T00:00:00.000","368",,"1",,,"354","13",,,
"2021-07-20T00:00:00.000","372",,"2",,,"344","26",,,
"2021-07-19T00:00:00.000","350",,"1",,,"303","46",,,
"2021-07-18T00:00:00.000","281",,"1",,,"232","46","2",,
"2021-07-17T00:00:00.000","258",,,,,"197","61",,,
"2021-07-16T00:00:00.000","279",,"1",,,"206","72",,,
"2021-07-15T00:00:00.000","309",,"4",,,"205","99","1",,
"2021-07-14T00:00:00.000","280",,"4",,,"176","100",,,
"2021-07-13T00:00:00.000","273",,"3",,,"160","108","2",,
"2021-07-12T00:00:00.000","289",,"5",,,"140","142","2",,
"2021-07-11T00:00:00.000","217",,"2",,,"89","126",,,
"2021-07-10T00:00:00.000","180",,"2",,,"61","117",,,
"2021-07-09T00:00:00.000","187",,"4",,,"58","125",,,
"2021-07-08T00:00:00.000","159",,"1",,,"50","106","2",,
"2021-07-07T00:00:00.000","161",,"2",,,"35","124",,,
"2021-07-06T00:00:00.000","156",,"3",,,"22","131",,,
"2021-07-05T00:00:00.000","127",,"1",,,"16","109","1",,
"2021-07-04T00:00:00.000","115",,"2",,,"16","97",,,
"2021-07-03T00:00:00.000","101",,"6",,,"12","82","1",,
"2021-07-02T00:00:00.000","90",,,,,"9","80","1",,
"2021-07-01T00:00:00.000","98",,"5",,,"10","83",,,
