"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-02-23T00:00:00.000","11",,"3",,,"8",,,,
"2021-02-22T00:00:00.000","70",,,,,"70",,,,
"2021-02-21T00:00:00.000","120",,,"1",,"118","1",,,
"2021-02-20T00:00:00.000","184",,"2",,,"180","1","1",,
"2021-02-19T00:00:00.000","238",,"6",,,"228","3","1",,
"2021-02-18T00:00:00.000","321",,"7","2",,"308","2","2",,
"2021-02-17T00:00:00.000","451",,"14","1",,"424","9","3",,
"2021-02-16T00:00:00.000","376",,"11",,,"356","4","5",,
"2021-02-15T00:00:00.000","470",,"14","1",,"444","9","2",,
"2021-02-14T00:00:00.000","435",,"17","1",,"400","9","8",,
"2021-02-13T00:00:00.000","383",,"30","2",,"341","6","4",,
"2021-02-12T00:00:00.000","375",,"35",,,"328","10","2",,
"2021-02-11T00:00:00.000","446",,"61","1",,"344","31","9",,
"2021-02-10T00:00:00.000","538",,"66",,,"434","26","12",,
"2021-02-09T00:00:00.000","609",,"82",,,"470","47","10",,
"2021-02-08T00:00:00.000","713",,"100","3",,"499","91","20",,
"2021-02-07T00:00:00.000","643",,"60","1",,"461","109","12",,
"2021-02-06T00:00:00.000","796",,"89","3",,"563","128","13",,
"2021-02-05T00:00:00.000","1027",,"165",,,"632","210","20",,
"2021-02-04T00:00:00.000","1043",,"170",,,"555","290","28",,
"2021-02-03T00:00:00.000","1029",,"201","1",,"444","357","26",,
"2021-02-02T00:00:00.000","988",,"187","2",,"372","411","16",,
"2021-02-01T00:00:00.000","1244",,"239","2",,"413","550","40",,
"2021-01-31T00:00:00.000","835",,"140","2",,"225","451","17",,
"2021-01-30T00:00:00.000","751",,"136","1",,"214","377","23",,
"2021-01-29T00:00:00.000","979",,"202",,,"186","562","29",,
"2021-01-28T00:00:00.000","1064",,"222","3",,"169","646","24",,
"2021-01-27T00:00:00.000","1139",,"257",,,"131","718","33",,
"2021-01-26T00:00:00.000","1065",,"215",,,"92","727","31",,
"2021-01-25T00:00:00.000","1208",,"227","1",,"113","838","29",,
"2021-01-24T00:00:00.000","945",,"126",,,"80","707","32",,
"2021-01-23T00:00:00.000","1077",,"143",,,"85","823","26",,
"2021-01-22T00:00:00.000","1179",,"179","2",,"65","896","37",,
"2021-01-21T00:00:00.000","998",,"179","2",,"55","738","24",,
"2021-01-20T00:00:00.000","1242",,"371","2",,"62","767","40",,
