"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-04-20T00:00:00.000","17",,,,,"17",,,,
"2021-04-19T00:00:00.000","108",,,,,"105","3",,,
"2021-04-18T00:00:00.000","186",,,,,"185",,"1",,
"2021-04-17T00:00:00.000","212",,,,,"209","3",,,
"2021-04-16T00:00:00.000","338",,,,,"336","1","1",,
"2021-04-15T00:00:00.000","499",,,,,"497","2",,,
"2021-04-14T00:00:00.000","658",,,,,"651","7",,,
"2021-04-13T00:00:00.000","869",,,,,"856","10","3",,
"2021-04-12T00:00:00.000","998",,,,,"980","11","7",,
"2021-04-11T00:00:00.000","877",,"1",,,"861","10","5",,
"2021-04-10T00:00:00.000","1019",,"1",,,"998","14","6",,
"2021-04-09T00:00:00.000","1037",,"3",,,"982","37","15",,
"2021-04-08T00:00:00.000","1208",,"9","3",,"1138","48","10",,
"2021-04-07T00:00:00.000","1366",,"18",,,"1246","84","18",,
"2021-04-06T00:00:00.000","1437",,"20",,,"1269","126","22",,
"2021-04-05T00:00:00.000","1202",,"9","1",,"1059","112","21",,
"2021-04-04T00:00:00.000","1224",,"4",,,"1070","126","24",,
"2021-04-03T00:00:00.000","1270",,"32",,,"1005","208","25",,
"2021-04-02T00:00:00.000","1577",,"56","1",,"1158","329","33",,
"2021-04-01T00:00:00.000","1939",,"91","2",,"1288","518","40",,
"2021-03-31T00:00:00.000","1718",,"139",,,"993","551","35",,
"2021-03-30T00:00:00.000","2118",,"155",,,"1079","844","40",,
"2021-03-29T00:00:00.000","2442",,"164",,,"1074","1151","53",,
"2021-03-28T00:00:00.000","1926",,"63",,,"781","1034","48",,
"2021-03-27T00:00:00.000","2166",,"197",,,"702","1224","43",,
"2021-03-26T00:00:00.000","2381",,"223",,,"644","1465","49",,
"2021-03-25T00:00:00.000","2489",,"328",,,"506","1587","68",,
"2021-03-24T00:00:00.000","2667",,"310","1",,"432","1856","68",,
"2021-03-23T00:00:00.000","2690",,"318",,,"392","1892","88",,
"2021-03-22T00:00:00.000","3071",,"327",,,"382","2294","68",,
"2021-03-21T00:00:00.000","2480",,"109","1",,"278","2030","62",,
"2021-03-20T00:00:00.000","2728",,"221","1",,"251","2194","61",,
"2021-03-19T00:00:00.000","2755",,"272","1",,"244","2184","54",,
"2021-03-18T00:00:00.000","2825",,"367","2",,"221","2162","73",,
"2021-03-17T00:00:00.000","3083",,"396",,,"203","2404","80",,
"2021-03-16T00:00:00.000","3134",,"434","1",,"206","2410","83",,
"2021-03-15T00:00:00.000","3695",,"418","1",,"192","2984","100",,
"2021-03-14T00:00:00.000","2842",,"149",,,"160","2454","79",,
"2021-03-13T00:00:00.000","2972",,"329","1",,"127","2438","77",,
"2021-03-12T00:00:00.000","3381",,"420",,,"160","2707","94",,
"2021-03-11T00:00:00.000","3261",,"425","2",,"127","2640","67",,
"2021-03-10T00:00:00.000","3982",,"546",,,"160","3160","116",,
"2021-03-09T00:00:00.000","3544",,"479","1",,"131","2861","72",,
"2021-03-08T00:00:00.000","4044",,"423","1",,"151","3361","108",,
"2021-03-07T00:00:00.000","3029",,"137",,,"111","2697","84",,
"2021-03-06T00:00:00.000","3280",,"341","1",,"102","2775","61",,
"2021-03-05T00:00:00.000","3729",,"464","1",,"123","3036","105",,
"2021-03-04T00:00:00.000","3379",,"414","1",,"99","2761","104",,
"2021-03-03T00:00:00.000","3591",,"461","1",,"96","2962","71",,
"2021-03-02T00:00:00.000","3554",,"522","1",,"94","2858","79",,
"2021-03-01T00:00:00.000","4259",,"428","1",,"108","3613","109",,
"2021-02-28T00:00:00.000","2373",,"144",,,"55","2106","68",,
"2021-02-27T00:00:00.000","2578",,"316",,,"41","2159","62",,
"2021-02-26T00:00:00.000","2977",,"378","1",,"58","2467","73",,
"2021-02-25T00:00:00.000","2868",,"368",,,"62","2349","89",,
"2021-02-24T00:00:00.000","2832",,"315","1",,"49","2403","64",,
"2021-02-23T00:00:00.000","2898",,"328","1",,"47","2454","68",,
