"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-03-02T00:00:00.000","9",,,,,"9",,,,
"2021-03-01T00:00:00.000","107",,"4",,,"102","1",,,
"2021-02-28T00:00:00.000","119",,"2",,,"117",,,,
"2021-02-27T00:00:00.000","210",,"9",,,"194","6","1",,
"2021-02-26T00:00:00.000","278",,"8",,,"265","4","1",,
"2021-02-25T00:00:00.000","426",,"7","1",,"402","8","8",,
"2021-02-24T00:00:00.000","564",,"7",,,"548","4","5",,
"2021-02-23T00:00:00.000","716",,"11",,,"689","11","5",,
"2021-02-22T00:00:00.000","893",,"11","1",,"865","6","10",,
"2021-02-21T00:00:00.000","959",,"8","1",,"937","5","8",,
"2021-02-20T00:00:00.000","1085",,"7","1",,"1051","16","10",,
"2021-02-19T00:00:00.000","1188",,"21",,,"1136","23","8",,
"2021-02-18T00:00:00.000","1262",,"17","2",,"1176","45","22",,
"2021-02-17T00:00:00.000","1461",,"33","2",,"1337","79","10",,
"2021-02-16T00:00:00.000","1387",,"57",,,"1183","122","25",,
"2021-02-15T00:00:00.000","1521",,"56","2",,"1279","162","22",,
"2021-02-14T00:00:00.000","1288",,"53","1",,"1023","188","23",,
"2021-02-13T00:00:00.000","1298",,"109","1",,"969","204","15",,
"2021-02-12T00:00:00.000","1167",,"82",,,"862","208","15",,
"2021-02-11T00:00:00.000","1234",,"122",,,"761","324","27",,
"2021-02-10T00:00:00.000","1360",,"137","1",,"772","428","22",,
"2021-02-09T00:00:00.000","1315",,"183",,,"603","512","17",,
"2021-02-08T00:00:00.000","1366",,"214","2",,"525","591","34",,
"2021-02-07T00:00:00.000","1076",,"124","1",,"342","589","20",,
"2021-02-06T00:00:00.000","1201",,"151","3",,"346","678","23",,
"2021-02-05T00:00:00.000","1435",,"246",,,"295","864","30",,
"2021-02-04T00:00:00.000","1354",,"236",,,"250","834","34",,
"2021-02-03T00:00:00.000","1271",,"227","1",,"136","876","31",,
"2021-02-02T00:00:00.000","1241",,"243","2",,"141","835","20",,
"2021-02-01T00:00:00.000","1503",,"258","1",,"153","1048","43",,
"2021-01-31T00:00:00.000","972",,"123","2",,"93","733","21",,
"2021-01-30T00:00:00.000","887",,"125","1",,"78","658","25",,
"2021-01-29T00:00:00.000","1104",,"187",,,"66","816","35",,
"2021-01-28T00:00:00.000","1164",,"218","2",,"71","844","29",,
"2021-01-27T00:00:00.000","1227",,"256",,,"61","875","35",,
"2021-01-26T00:00:00.000","1122",,"207",,,"48","834","33",,
"2021-01-25T00:00:00.000","1256",,"211","1",,"59","953","32",,
"2021-01-24T00:00:00.000","973",,"123",,,"41","773","36",,
"2021-01-23T00:00:00.000","1101",,"145",,,"54","875","27",,
"2021-01-22T00:00:00.000","1199",,"182","2",,"34","942","39",,
"2021-01-21T00:00:00.000","1008",,"169","2",,"38","774","25",,
"2021-01-20T00:00:00.000","1253",,"353","2",,"44","811","43",,
