"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-03-23T00:00:00.000","27",,,,,"27",,,,
"2021-03-22T00:00:00.000","222",,,,,"222",,,,
"2021-03-21T00:00:00.000","301",,,,,"300","1",,,
"2021-03-20T00:00:00.000","376",,,"1",,"372","3",,,
"2021-03-19T00:00:00.000","579",,,,,"573","5","1",,
"2021-03-18T00:00:00.000","876",,,,,"857","13","6",,
"2021-03-17T00:00:00.000","1321",,,,,"1301","12","8",,
"2021-03-16T00:00:00.000","1558",,,"2",,"1535","16","5",,
"2021-03-15T00:00:00.000","2067",,"2",,,"2039","11","15",,
"2021-03-14T00:00:00.000","1874",,,,,"1838","16","20",,
"2021-03-13T00:00:00.000","1981",,,"1",,"1946","14","20",,
"2021-03-12T00:00:00.000","2306",,"2",,,"2261","24","19",,
"2021-03-11T00:00:00.000","2408",,"2","1",,"2343","40","22",,
"2021-03-10T00:00:00.000","3010",,"4",,,"2857","109","40",,
"2021-03-09T00:00:00.000","2818",,"11","2",,"2655","122","28",,
"2021-03-08T00:00:00.000","3386",,"17","1",,"3092","225","51",,
"2021-03-07T00:00:00.000","2745",,"8",,,"2467","231","39",,
"2021-03-06T00:00:00.000","2817",,"35","1",,"2415","338","28",,
"2021-03-05T00:00:00.000","3186",,"79","1",,"2575","469","62",,
"2021-03-04T00:00:00.000","2937",,"87","1",,"2220","576","53",,
"2021-03-03T00:00:00.000","3141",,"106","1",,"2230","765","39",,
"2021-03-02T00:00:00.000","3320",,"371","1",,"1747","1150","51",,
"2021-03-01T00:00:00.000","4056",,"314","1",,"2069","1605","67",,
"2021-02-28T00:00:00.000","2281",,"82",,,"1003","1144","52",,
"2021-02-27T00:00:00.000","2488",,"253",,,"884","1309","42",,
"2021-02-26T00:00:00.000","2888",,"328","1",,"861","1639","59",,
"2021-02-25T00:00:00.000","2819",,"337",,,"638","1769","75",,
"2021-02-24T00:00:00.000","2773",,"275","1",,"500","1941","56",,
"2021-02-23T00:00:00.000","2838",,"293","1",,"452","2037","55",,
"2021-02-22T00:00:00.000","3008",,"227",,,"455","2257","69",,
"2021-02-21T00:00:00.000","2189",,"76",,,"325","1743","45",,
"2021-02-20T00:00:00.000","2401",,"218",,,"264","1864","55",,
"2021-02-19T00:00:00.000","2287",,"223",,,"245","1773","46",,
"2021-02-18T00:00:00.000","2125",,"173",,,"211","1681","60",,
"2021-02-17T00:00:00.000","2146",,"210",,,"172","1724","40",,
"2021-02-16T00:00:00.000","1965",,"183",,,"146","1586","50",,
"2021-02-15T00:00:00.000","1976",,"124","3",,"163","1635","51",,
"2021-02-14T00:00:00.000","1553",,"61",,,"96","1359","37",,
"2021-02-13T00:00:00.000","1429",,"140",,,"88","1178","23",,
"2021-02-12T00:00:00.000","1405",,"113",,,"80","1180","32",,
"2021-02-11T00:00:00.000","1330",,"76",,,"71","1140","43",,
"2021-02-10T00:00:00.000","1575",,"100",,,"70","1375","30",,
"2021-02-09T00:00:00.000","1483",,"126",,,"82","1247","28",,
"2021-02-08T00:00:00.000","1551",,"119","1",,"75","1305","51",,
"2021-02-07T00:00:00.000","1177",,"45",,,"50","1055","27",,
"2021-02-06T00:00:00.000","1273",,"65","2",,"74","1100","32",,
"2021-02-05T00:00:00.000","1375",,"83",,,"63","1195","34",,
"2021-02-04T00:00:00.000","1301",,"88",,,"58","1111","44",,
"2021-02-03T00:00:00.000","1250",,"105","1",,"59","1049","36",,
"2021-02-02T00:00:00.000","1276",,"90",,,"58","1097","31",,
"2021-02-01T00:00:00.000","1563",,"78",,,"72","1355","58",,
"2021-01-31T00:00:00.000","929",,"29",,,"25","847","28",,
"2021-01-30T00:00:00.000","930",,"55",,,"30","817","28",,
"2021-01-29T00:00:00.000","1051",,"63",,,"36","915","37",,
"2021-01-28T00:00:00.000","1133",,"95",,,"35","970","33",,
"2021-01-27T00:00:00.000","1185",,"103",,,"33","1013","36",,
"2021-01-26T00:00:00.000","1121",,"96",,,"33","955","37",,
"2021-01-25T00:00:00.000","1265",,"88",,,"30","1111","36",,
"2021-01-24T00:00:00.000","977",,"39",,,"22","879","37",,
"2021-01-23T00:00:00.000","1059",,"51",,,"20","960","28",,
"2021-01-22T00:00:00.000","1129",,"53",,,"26","1007","43",,
"2021-01-21T00:00:00.000","1022",,"80","1",,"12","898","31",,
"2021-01-20T00:00:00.000","1240",,"162","3",,"29","1004","42",,
"2021-01-19T00:00:00.000","1270",,"145",,,"21","1063","41",,
"2021-01-18T00:00:00.000","1245",,"165","4",,"24","998","54",,
"2021-01-17T00:00:00.000","869",,"73",,,"15","747","34",,
"2021-01-16T00:00:00.000","932",,"105",,,"11","774","42",,
"2021-01-15T00:00:00.000","1122",,"192","1",,"15","880","34",,
"2021-01-14T00:00:00.000","1122",,"232","4",,"12","818","56",,
"2021-01-13T00:00:00.000","1173",,"258",,,"22","852","41",,
"2021-01-12T00:00:00.000","1276",,"237","1",,"21","963","54",,
"2021-01-11T00:00:00.000","1275",,"214","1",,"25","991","44",,
"2021-01-10T00:00:00.000","969",,"132","3",,"15","783","36",,
"2021-01-09T00:00:00.000","1128",,"190","1",,"24","866","47",,
"2021-01-08T00:00:00.000","1249",,"248","3",,"23","921","54",,
"2021-01-07T00:00:00.000","1362",,"263","1",,"24","1025","49",,
"2021-01-06T00:00:00.000","1214",,"226",,,"15","934","39",,
"2021-01-05T00:00:00.000","2049",,"702",,,"24","1266","57",,
"2021-01-04T00:00:00.000","2120",,"511","4",,"19","1509","77",,
"2021-01-03T00:00:00.000","1416",,"231","1",,"11","1131","42",,
"2021-01-02T00:00:00.000","1406",,"302",,,"12","1033","59",,
"2021-01-01T00:00:00.000","1495",,"175",,,"15","1264","41",,
"2020-12-31T00:00:00.000","1650",,"546","5",,"14","1049","36",,
"2020-12-30T00:00:00.000","1671",,"532","3",,"12","1075","49",,
"2020-12-29T00:00:00.000","1707",,"556","3",,"13","1072","63",,
"2020-12-28T00:00:00.000","1565",,"287","3",,"11","1213","51",,
"2020-12-27T00:00:00.000","1259",,"218","1",,"16","992","32",,
"2020-12-26T00:00:00.000","1068",,"112","1",,"14","909","32",,
"2020-12-25T00:00:00.000","999",,"104",,,"12","854","29",,
"2020-12-24T00:00:00.000","1238",,"247",,,"21","933","37",,
"2020-12-23T00:00:00.000","1444",,"333","6",,"25","1013","67",,
"2020-12-22T00:00:00.000","1328",,"263","2",,"14","999","50",,
"2020-12-21T00:00:00.000","1411",,"250","2",,"18","1091","50",,
"2020-12-20T00:00:00.000","1004",,"123",,,"7","836","38",,
"2020-12-19T00:00:00.000","961",,"159",,,"11","741","50",,
"2020-12-18T00:00:00.000","1230",,"294","1",,"14","868","53",,
"2020-12-17T00:00:00.000","1190",,"287","1",,"14","841","47",,
"2020-12-16T00:00:00.000","1264",,"271","1",,"20","929","43",,
"2020-12-15T00:00:00.000","1384",,"286","12",,"12","1027","47",,
"2020-12-14T00:00:00.000","1498",,"307","3",,"26","1121","41",,
"2020-12-13T00:00:00.000","957",,"85",,,"18","814","40",,
"2020-12-12T00:00:00.000","1142",,"129","1",,"5","965","42",,
