"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-08-10T00:00:00.000","7",,,,,"7",,,,
"2021-08-09T00:00:00.000","37",,,,,"37",,,,
"2021-08-08T00:00:00.000","30",,,,,"30",,,,
"2021-08-07T00:00:00.000","69",,,,,"69",,,,
"2021-08-06T00:00:00.000","100",,,,,"100",,,,
"2021-08-05T00:00:00.000","131",,,,,"130","1",,,
"2021-08-04T00:00:00.000","199",,,,,"197","2",,,
"2021-08-03T00:00:00.000","250",,,,,"247","1","2",,
"2021-08-02T00:00:00.000","299",,,,,"294","5",,,
"2021-08-01T00:00:00.000","293",,,,,"292","1",,,
"2021-07-31T00:00:00.000","310",,,,,"306","4",,,
"2021-07-30T00:00:00.000","309",,,,,"306","2","1",,
"2021-07-29T00:00:00.000","322",,,,,"310","12",,,
"2021-07-28T00:00:00.000","400",,"4",,,"372","23","1",,
"2021-07-27T00:00:00.000","440",,"3",,,"377","58","2",,
"2021-07-26T00:00:00.000","441",,"4",,,"373","64",,,
"2021-07-25T00:00:00.000","417",,"3",,,"347","66","1",,
"2021-07-24T00:00:00.000","368",,"5",,,"288","74","1",,
"2021-07-23T00:00:00.000","388",,"3",,,"269","116",,,
"2021-07-22T00:00:00.000","384",,"7",,,"249","128",,,
"2021-07-21T00:00:00.000","407",,"3",,,"254","150",,,
"2021-07-20T00:00:00.000","402",,"4",,,"208","190",,,
"2021-07-19T00:00:00.000","380",,"7",,,"195","178",,,
"2021-07-18T00:00:00.000","297",,"6",,,"128","161","2",,
"2021-07-17T00:00:00.000","272",,"3",,,"98","170","1",,
"2021-07-16T00:00:00.000","286",,"4",,,"93","189",,,
"2021-07-15T00:00:00.000","319",,"8",,,"80","230","1",,
"2021-07-14T00:00:00.000","286",,"7",,,"68","211",,,
"2021-07-13T00:00:00.000","275",,"6",,,"63","203","3",,
"2021-07-12T00:00:00.000","291",,"6",,,"58","225","2",,
"2021-07-11T00:00:00.000","220",,"3",,,"40","177",,,
"2021-07-10T00:00:00.000","180",,"2",,,"27","151",,,
"2021-07-09T00:00:00.000","186",,"4",,,"21","161",,,
"2021-07-08T00:00:00.000","162",,"4",,,"22","134","2",,
"2021-07-07T00:00:00.000","162",,"3",,,"16","143",,,
"2021-07-06T00:00:00.000","155",,"3",,,"8","144",,,
"2021-07-05T00:00:00.000","127",,"1",,,"6","119","1",,
"2021-07-04T00:00:00.000","117",,"2",,,"11","104",,,
"2021-07-03T00:00:00.000","102",,"7",,,"7","87","1",,
"2021-07-02T00:00:00.000","91",,,,,"6","84","1",,
"2021-07-01T00:00:00.000","98",,"5",,,"7","86",,,
"2021-06-30T00:00:00.000","85",,"3",,,"4","78",,,
"2021-06-29T00:00:00.000","104",,"2",,,"3","99",,,
"2021-06-28T00:00:00.000","87",,"3",,,"2","81","1",,
"2021-06-27T00:00:00.000","69",,"1",,,"3","64","1",,
"2021-06-26T00:00:00.000","54",,"2",,,"4","48",,,
"2021-06-25T00:00:00.000","62",,"1",,,"8","52","1",,
"2021-06-24T00:00:00.000","84",,"5",,,"6","72","1",,
"2021-06-23T00:00:00.000","81",,"1",,,"10","70",,,
"2021-06-22T00:00:00.000","80",,"2",,,"13","65",,,
"2021-06-21T00:00:00.000","59",,"1",,,"2","56",,,
"2021-06-20T00:00:00.000","68",,"2",,,"2","64",,,
"2021-06-19T00:00:00.000","76",,"2",,,"5","69",,,
"2021-06-18T00:00:00.000","53",,"1",,,"4","48",,,
"2021-06-17T00:00:00.000","72",,"2",,,"3","67",,,
"2021-06-16T00:00:00.000","110",,"3",,,"10","97",,,
"2021-06-15T00:00:00.000","86",,"3",,,"3","80",,,
"2021-06-14T00:00:00.000","121",,"6",,,"6","109",,,
"2021-06-13T00:00:00.000","88",,"3",,,"3","81","1",,
"2021-06-12T00:00:00.000","104",,"5",,,"2","96","1",,
"2021-06-11T00:00:00.000","105",,"5",,,"4","92","4",,
"2021-06-10T00:00:00.000","131",,"6",,,"3","122",,,
"2021-06-09T00:00:00.000","185",,"3",,,"5","176","1",,
"2021-06-08T00:00:00.000","166",,"9",,,"5","151","1",,
"2021-06-07T00:00:00.000","186",,"12",,,"3","170","1",,
"2021-06-06T00:00:00.000","140",,"6",,,"2","130","2",,
"2021-06-05T00:00:00.000","194",,"5",,,"4","184","1",,
"2021-06-04T00:00:00.000","193",,"5",,,"4","180","4",,
"2021-06-03T00:00:00.000","220",,"23",,,"3","192","2",,
"2021-06-02T00:00:00.000","213",,"13",,,"4","195","1",,
"2021-06-01T00:00:00.000","283",,"14",,,"6","262","1",,
"2021-05-31T00:00:00.000","237",,"13",,,"3","219","2",,
"2021-05-30T00:00:00.000","179",,"8",,,,"169","2",,
"2021-05-29T00:00:00.000","225",,"3",,,"4","217","1",,
"2021-05-28T00:00:00.000","264",,"15",,,"5","239","5",,
"2021-05-27T00:00:00.000","273",,"17",,,"2","248","6",,
"2021-05-26T00:00:00.000","309",,"20",,,"5","281","3",,
"2021-05-25T00:00:00.000","306",,"27",,,"4","271","4",,
"2021-05-24T00:00:00.000","363",,"23",,,"2","334","4",,
"2021-05-23T00:00:00.000","322",,"11",,,"2","308","1",,
"2021-05-22T00:00:00.000","325",,"14",,,"4","305","2",,
"2021-05-21T00:00:00.000","376",,"19",,,"3","352","2",,
"2021-05-20T00:00:00.000","435",,"43",,,"3","383","6",,
"2021-05-19T00:00:00.000","490",,"46",,,"6","435","3",,
"2021-05-18T00:00:00.000","537",,"42",,,"4","484","7",,
"2021-05-17T00:00:00.000","490",,"30",,,"3","449","8",,
"2021-05-16T00:00:00.000","421",,"12",,,"6","399","4",,
"2021-05-15T00:00:00.000","439",,"14",,,"4","414","7",,
"2021-05-14T00:00:00.000","526",,"16",,,"5","498","7",,
"2021-05-13T00:00:00.000","563",,"39","1",,"9","502","12",,
"2021-05-12T00:00:00.000","665",,"41",,,"6","601","17",,
"2021-05-11T00:00:00.000","634",,"38",,,"3","583","10",,
