"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-04-27T00:00:00.000","18",,,,,"18",,,,
"2021-04-26T00:00:00.000","90",,,,,"88","2",,,
"2021-04-25T00:00:00.000","148",,,,,"146","2",,,
"2021-04-24T00:00:00.000","205",,,,,"205",,,,
"2021-04-23T00:00:00.000","332",,,,,"329","3",,,
"2021-04-22T00:00:00.000","494",,,,,"486","8",,,
"2021-04-21T00:00:00.000","718",,,,,"707","10","1",,
"2021-04-20T00:00:00.000","792",,,"1",,"773","13","5",,
"2021-04-19T00:00:00.000","964",,,"1",,"943","17","3",,
"2021-04-18T00:00:00.000","871",,,,,"842","21","8",,
"2021-04-17T00:00:00.000","926",,"1","1",,"909","12","3",,
"2021-04-16T00:00:00.000","995",,"2",,,"955","27","11",,
"2021-04-15T00:00:00.000","1106",,"4",,,"1042","48","12",,
"2021-04-14T00:00:00.000","1153",,"12",,,"1054","80","7",,
"2021-04-13T00:00:00.000","1363",,"20","1",,"1199","132","11",,
"2021-04-12T00:00:00.000","1415",,"20",,,"1206","169","20",,
"2021-04-11T00:00:00.000","1135",,"6",,,"926","192","11",,
"2021-04-10T00:00:00.000","1328",,"23",,,"1042","253","10",,
"2021-04-09T00:00:00.000","1261",,"38",,,"912","285","26",,
"2021-04-08T00:00:00.000","1423",,"89","3",,"925","389","17",,
"2021-04-07T00:00:00.000","1568",,"108",,,"926","505","29",,
"2021-04-06T00:00:00.000","1609",,"101",,,"821","655","32",,
"2021-04-05T00:00:00.000","1293",,"34","1",,"651","578","29",,
"2021-04-04T00:00:00.000","1288",,"19",,,"610","627","32",,
"2021-04-03T00:00:00.000","1379",,"106",,,"451","790","32",,
"2021-04-02T00:00:00.000","1685",,"128","1",,"456","1058","42",,
"2021-04-01T00:00:00.000","2054",,"174","2",,"426","1399","53",,
"2021-03-31T00:00:00.000","1824",,"229","1",,"240","1309","45",,
"2021-03-30T00:00:00.000","2182",,"204","1",,"260","1670","47",,
"2021-03-29T00:00:00.000","2503",,"211","1",,"250","1979","62",,
"2021-03-28T00:00:00.000","1958",,"88",,,"159","1655","56",,
"2021-03-27T00:00:00.000","2207",,"222",,,"177","1756","52",,
"2021-03-26T00:00:00.000","2419",,"253","1",,"176","1933","56",,
"2021-03-25T00:00:00.000","2517",,"351",,,"153","1940","73",,
"2021-03-24T00:00:00.000","2701",,"336","1",,"156","2134","74",,
"2021-03-23T00:00:00.000","2722",,"343",,,"127","2159","93",,
"2021-03-22T00:00:00.000","3108",,"355",,,"145","2533","75",,
"2021-03-21T00:00:00.000","2500",,"124","1",,"101","2207","67",,
"2021-03-20T00:00:00.000","2748",,"235","1",,"102","2347","63",,
"2021-03-19T00:00:00.000","2781",,"296","1",,"99","2326","59",,
"2021-03-18T00:00:00.000","2848",,"384","2",,"108","2276","78",,
"2021-03-17T00:00:00.000","3099",,"408",,,"90","2515","86",,
"2021-03-16T00:00:00.000","3150",,"447","1",,"96","2518","88",,
"2021-03-15T00:00:00.000","3707",,"429","1",,"98","3076","103",,
"2021-03-14T00:00:00.000","2854",,"157",,,"76","2539","82",,
"2021-03-13T00:00:00.000","2981",,"335","1",,"63","2502","80",,
"2021-03-12T00:00:00.000","3397",,"430",,,"92","2777","98",,
"2021-03-11T00:00:00.000","3278",,"437","2",,"71","2699","69",,
"2021-03-10T00:00:00.000","3997",,"560",,,"89","3231","117",,
"2021-03-09T00:00:00.000","3556",,"489","1",,"81","2911","74",,
"2021-03-08T00:00:00.000","4056",,"433","1",,"92","3421","109",,
"2021-03-07T00:00:00.000","3033",,"141",,,"72","2734","86",,
"2021-03-06T00:00:00.000","3284",,"345","1",,"65","2812","61",,
"2021-03-05T00:00:00.000","3738",,"473","1",,"77","3081","106",,
"2021-03-04T00:00:00.000","3387",,"421","1",,"64","2797","104",,
"2021-03-03T00:00:00.000","3596",,"466","1",,"56","3000","73",,
"2021-03-02T00:00:00.000","3561",,"527","1",,"62","2892","79",,
"2021-03-01T00:00:00.000","4266",,"434","1",,"70","3651","110",,
"2021-02-28T00:00:00.000","2377",,"145",,,"39","2124","69",,
"2021-02-27T00:00:00.000","2580",,"317",,,"32","2169","62",,
"2021-02-26T00:00:00.000","2980",,"381","1",,"38","2487","73",,
"2021-02-25T00:00:00.000","2868",,"368",,,"52","2358","90",,
"2021-02-24T00:00:00.000","2834",,"317","1",,"35","2416","65",,
"2021-02-23T00:00:00.000","2899",,"329","1",,"40","2461","68",,
"2021-02-22T00:00:00.000","3076",,"271",,,"58","2665","82",,
"2021-02-21T00:00:00.000","2217",,"92",,,"37","2038","50",,
"2021-02-20T00:00:00.000","2439",,"238",,,"39","2097","65",,
"2021-02-19T00:00:00.000","2316",,"236",,,"35","1990","55",,
"2021-02-18T00:00:00.000","2155",,"195",,,"29","1861","70",,
"2021-02-17T00:00:00.000","2172",,"223",,,"30","1873","46",,
"2021-02-16T00:00:00.000","1988",,"192",,,"23","1718","55",,
"2021-02-15T00:00:00.000","1998",,"133","2",,"39","1767","57",,
"2021-02-14T00:00:00.000","1562",,"64",,,"12","1444","42",,
"2021-02-13T00:00:00.000","1442",,"144",,,"19","1253","26",,
"2021-02-12T00:00:00.000","1412",,"116",,,"17","1246","33",,
"2021-02-11T00:00:00.000","1339",,"85",,,"25","1184","45",,
"2021-02-10T00:00:00.000","1587",,"108",,,"21","1427","31",,
"2021-02-09T00:00:00.000","1491",,"134",,,"28","1298","31",,
"2021-02-08T00:00:00.000","1556",,"123","1",,"29","1351","52",,
"2021-02-07T00:00:00.000","1181",,"45",,,"11","1097","28",,
"2021-02-06T00:00:00.000","1280",,"70","2",,"19","1154","35",,
"2021-02-05T00:00:00.000","1382",,"86",,,"22","1238","36",,
"2021-02-04T00:00:00.000","1305",,"88",,,"15","1156","46",,
"2021-02-03T00:00:00.000","1253",,"106","1",,"21","1087","38",,
"2021-02-02T00:00:00.000","1280",,"90",,,"16","1141","33",,
"2021-02-01T00:00:00.000","1571",,"83",,,"18","1411","59",,
"2021-01-31T00:00:00.000","930",,"29",,,"8","865","28",,
"2021-01-30T00:00:00.000","931",,"55",,,"6","841","29",,
"2021-01-29T00:00:00.000","1053",,"63",,,"13","939","38",,
"2021-01-28T00:00:00.000","1135",,"97",,,"12","993","33",,
"2021-01-27T00:00:00.000","1189",,"105",,,"14","1032","38",,
"2021-01-26T00:00:00.000","1124",,"98",,,"9","979","38",,
"2021-01-25T00:00:00.000","1269",,"90",,,"14","1129","36",,
"2021-01-24T00:00:00.000","976",,"39",,,"6","894","37",,
"2021-01-23T00:00:00.000","1058",,"51",,,"10","968","29",,
"2021-01-22T00:00:00.000","1131",,"53",,,"9","1025","44",,
"2021-01-21T00:00:00.000","1027",,"80","1",,"7","907","32",,
"2021-01-20T00:00:00.000","1243",,"162","3",,"11","1024","43",,
"2021-01-19T00:00:00.000","1270",,"143",,,"9","1077","41",,
"2021-01-18T00:00:00.000","1246",,"164","4",,"11","1013","54",,
"2021-01-17T00:00:00.000","869",,"72",,,"8","755","34",,
"2021-01-16T00:00:00.000","935",,"104",,,"6","782","43",,
"2021-01-15T00:00:00.000","1128",,"193","1",,"10","889","35",,
"2021-01-14T00:00:00.000","1128",,"234","4",,"5","829","56",,
"2021-01-13T00:00:00.000","1175",,"258",,,"11","864","42",,
"2021-01-12T00:00:00.000","1276",,"238","1",,"8","975","54",,
"2021-01-11T00:00:00.000","1276",,"213","1",,"15","1002","45",,
"2021-01-10T00:00:00.000","969",,"132","3",,"6","792","36",,
"2021-01-09T00:00:00.000","1129",,"191","1",,"11","879","47",,
"2021-01-08T00:00:00.000","1252",,"249","3",,"11","935","54",,
"2021-01-07T00:00:00.000","1362",,"262","1",,"8","1042","49",,
"2021-01-06T00:00:00.000","1214",,"225",,,"9","939","41",,
"2021-01-05T00:00:00.000","2055",,"704",,,"13","1281","57",,
"2021-01-04T00:00:00.000","2124",,"509","4",,"5","1529","77",,
"2021-01-03T00:00:00.000","1418",,"231","1",,"5","1138","43",,
"2021-01-02T00:00:00.000","1408",,"301",,,"5","1043","59",,
"2021-01-01T00:00:00.000","1500",,"175",,,"8","1275","42",,
"2020-12-31T00:00:00.000","1651",,"545","5",,"9","1056","36",,
"2020-12-30T00:00:00.000","1672",,"531","3",,"7","1082","49",,
"2020-12-29T00:00:00.000","1713",,"556","3",,"7","1084","63",,
"2020-12-28T00:00:00.000","1567",,"285","3",,"4","1224","51",,
"2020-12-27T00:00:00.000","1261",,"219","1",,"6","1002","33",,
"2020-12-26T00:00:00.000","1069",,"112","1",,"8","916","32",,
"2020-12-25T00:00:00.000","999",,"104",,,"6","859","30",,
"2020-12-24T00:00:00.000","1239",,"246",,,"8","947","38",,
"2020-12-23T00:00:00.000","1445",,"334","6",,"11","1027","67",,
"2020-12-22T00:00:00.000","1330",,"262","2",,"12","1004","50",,
"2020-12-21T00:00:00.000","1415",,"251","2",,"8","1104","50",,
"2020-12-20T00:00:00.000","1005",,"123",,,"2","842","38",,
"2020-12-19T00:00:00.000","961",,"159",,,"7","745","50",,
"2020-12-18T00:00:00.000","1230",,"291","1",,"9","876","53",,
"2020-12-17T00:00:00.000","1190",,"284","1",,"6","852","47",,
"2020-12-16T00:00:00.000","1264",,"271","1",,"8","942","42",,
"2020-12-15T00:00:00.000","1385",,"285","12",,"8","1033","47",,
"2020-12-14T00:00:00.000","1501",,"307","3",,"13","1137","41",,
"2020-12-13T00:00:00.000","956",,"83",,,"9","824","40",,
"2020-12-12T00:00:00.000","1146",,"128","1",,"5","969","43",,
"2020-12-11T00:00:00.000","1452",,"238","2",,"4","1137","71",,
"2020-12-10T00:00:00.000","1487",,"281","9",,"9","1128","60",,
"2020-12-09T00:00:00.000","1546",,"223","3",,"12","1250","58",,
"2020-12-08T00:00:00.000","1031",,"64",,,"2","932","33",,
"2020-12-07T00:00:00.000","1796","23","610","9",,"10","1085","59",,
"2020-12-06T00:00:00.000","1135","4","377","2",,"1","711","40",,
"2020-12-05T00:00:00.000","1354","10","426","4",,"8","867","39",,
"2020-12-04T00:00:00.000","2100","10","661","28",,"7","1225","169",,
"2020-12-03T00:00:00.000","1635","9","562","11",,"5","995","53",,
"2020-12-02T00:00:00.000","1796","12","750","13",,"1","975","45",,
"2020-12-01T00:00:00.000","2216","17","893","14",,"9","1210","73",,
"2020-11-30T00:00:00.000","1979","14","865","9",,"6","1019","66",,
"2020-11-29T00:00:00.000","1584","1","830","3",,"5","695","50",,
"2020-11-28T00:00:00.000","2309","2","1060","2",,"7","1180","58",,
"2020-11-27T00:00:00.000","2202","8","937","5",,"8","1175","69",,
"2020-11-26T00:00:00.000","2635","21","1416","12",,"5","1098","83",,
"2020-11-25T00:00:00.000","2435","16","1242","13",,"9","1097","58",,
"2020-11-24T00:00:00.000","2950","14","1749","11",,"2","1108","66",,
"2020-11-23T00:00:00.000","2989","28","1506","16",,"11","1335","93",,
"2020-11-22T00:00:00.000","2330","5","1325","14",,"5","935","46",,
"2020-11-21T00:00:00.000","3225","9","2065","11",,"4","1057","79",,
"2020-11-20T00:00:00.000","3573","21","2009","25",,"2","1414","102",,
"2020-11-19T00:00:00.000","3994","21","2763","18",,"10","1102","80",,
"2020-11-18T00:00:00.000","4244","21","2497","15",,"15","1589","107",,
"2020-11-17T00:00:00.000","3585","31","2075","22",,"11","1361","85",,
"2020-11-16T00:00:00.000","4914","30","3014","25",,"12","1732","101",,
"2020-11-15T00:00:00.000","4249","8","2236","16",,"10","1847","132",,
"2020-11-14T00:00:00.000","5065","7","3358","37",,"14","1562","87",,
"2020-11-13T00:00:00.000","5204","21","2848","27",,"15","2166","127",,
"2020-11-12T00:00:00.000","4801","28","2913","37",,"15","1698","110",,
"2020-11-11T00:00:00.000","4943","21","2757","23",,"14","2006","122",,
"2020-11-10T00:00:00.000","5715","31","3225","35",,"9","2255","160",,
"2020-11-09T00:00:00.000","5972","42","3243","34",,"15","2502","136",,
"2020-11-08T00:00:00.000","5405","16","3226","19",,"23","2004","117",,
"2020-11-07T00:00:00.000","5767","20","3323","35",,"8","2253","128",,
"2020-11-06T00:00:00.000","5973","23","3407","35",,"15","2334","159",,
"2020-11-05T00:00:00.000","5876","36","3464","35",,"25","2156","160",,
"2020-11-04T00:00:00.000","7621","26","5047","53",,"25","2292","178",,
"2020-11-03T00:00:00.000","5710","32","3296","36",,"28","2182","136",,
"2020-11-02T00:00:00.000","7471","32","4451","35",,"13","2764","176",,
"2020-11-01T00:00:00.000","6400","19","3414","26",,"15","2758","168",,
"2020-10-31T00:00:00.000","5213","18","3105","18",,"8","1953","111",,
"2020-10-30T00:00:00.000","6763","41","4109","39",,"22","2416","136",,
"2020-10-29T00:00:00.000","8145","39","5322","37",,"15","2551","181",,
"2020-10-28T00:00:00.000","6806","34","4271","42",,"15","2321","123",,
"2020-10-27T00:00:00.000","6681","35","4183","31",,"16","2303","113",,
"2020-10-26T00:00:00.000","7940","34","5048","33",,"23","2668","134",,
"2020-10-25T00:00:00.000","5118","14","2749","27",,"17","2180","131",,
"2020-10-24T00:00:00.000","5212","39","2907","8",,"14","2152","92",,
"2020-10-23T00:00:00.000","6212","36","3738","14",,"23","2302","99",,
"2020-10-22T00:00:00.000","5151","30","2851","13",,"22","2127","108",,
"2020-10-21T00:00:00.000","5307","42","2923","23",,"19","2212","88",,
"2020-10-20T00:00:00.000","5410","31","2955","12",,"23","2279","110",,
"2020-10-19T00:00:00.000","5066","44","2765","15",,"16","2150","76",,
"2020-10-18T00:00:00.000","3365","15","1574","6",,"20","1674","76",,
"2020-10-17T00:00:00.000","3274","24","1636","7",,"19","1527","61",,
"2020-10-16T00:00:00.000","3627","25","1781","20",,"14","1698","89",,
"2020-10-15T00:00:00.000","3055","25","1426","19",,"18","1518","49",,
"2020-10-14T00:00:00.000","2749","22","1280","10",,"10","1379","48",,
"2020-10-13T00:00:00.000","2380","20","1053","1",,"14","1260","32",,
"2020-10-12T00:00:00.000","2523","29","1050","9",,"12","1376","47",,
"2020-10-11T00:00:00.000","1405","11","469","5",,"12","873","35",,
"2020-10-10T00:00:00.000","1410","14","467","3",,"7","884","35",,
"2020-10-09T00:00:00.000","1483","7","501","6",,"13","913","43",,
"2020-10-08T00:00:00.000","1299","12","364","1",,"7","880","35",,
"2020-10-07T00:00:00.000","1093","8","309",,,"12","736","28",,
"2020-10-06T00:00:00.000","934","8","272","4",,"9","622","19",,
"2020-10-05T00:00:00.000","963","9","258",,,"4","671","21",,
"2020-10-04T00:00:00.000","613","2","112","1",,"8","479","11",,
"2020-10-03T00:00:00.000","635","4","136","1",,"13","466","15",,
"2020-10-02T00:00:00.000","634","11","168",,,"6","435","14",,
"2020-10-01T00:00:00.000","647","2","167",,,"5","462","11",,
"2020-09-30T00:00:00.000","398","3","86",,,"4","297","8",,
"2020-09-29T00:00:00.000","313","3","70",,,"3","232","5",,
"2020-09-28T00:00:00.000","358","2","71",,,"3","277","5",,
"2020-09-27T00:00:00.000","243","1","50",,,"4","185","3",,
"2020-09-26T00:00:00.000","213","1","51","1",,"1","156","3",,
"2020-09-25T00:00:00.000","239",,"42",,,"2","191","4",,
"2020-09-24T00:00:00.000","212",,"49",,,"2","157","4",,
