"data_inizio_sintomi","casi_totali","nessuno_stato_clinico","solo_st_guarito","solo_st_deceduto","solo_st_asintomatico","solo_st_lieve_pau_severo","st_lieve_pau_severo_grave_g","st_lieve_pau_severo_grave_d","st_asintomatico_g","st_asintomatico_d"
"2021-05-11T00:00:00.000","8",,,,,"8",,,,
"2021-05-10T00:00:00.000","49",,,,,"49",,,,
"2021-05-09T00:00:00.000","74",,,,,"74",,,,
"2021-05-08T00:00:00.000","82",,,,,"81","1",,,
"2021-05-07T00:00:00.000","190",,,,,"189","1",,,
"2021-05-06T00:00:00.000","296",,,,,"293","2","1",,
"2021-05-05T00:00:00.000","475",,,,,"472","3",,,
"2021-05-04T00:00:00.000","517",,"1",,,"505","11",,,
"2021-05-03T00:00:00.000","632",,,,,"618","9","5",,
"2021-05-02T00:00:00.000","542",,,,,"534","5","3",,
"2021-05-01T00:00:00.000","645",,"2",,,"634","8","1",,
"2021-04-30T00:00:00.000","648",,"1",,,"617","25","5",,
"2021-04-29T00:00:00.000","750",,"6",,,"695","46","3",,
"2021-04-28T00:00:00.000","855",,"14",,,"761","75","5",,
"2021-04-27T00:00:00.000","1098",,"18","1",,"935","127","17",,
"2021-04-26T00:00:00.000","1194",,"20",,,"953","211","10",,
"2021-04-25T00:00:00.000","1097",,"7","1",,"878","200","11",,
"2021-04-24T00:00:00.000","1124",,"15",,,"847","254","8",,
"2021-04-23T00:00:00.000","1285",,"35",,,"894","346","10",,
"2021-04-22T00:00:00.000","1241",,"62",,,"779","388","12",,
"2021-04-21T00:00:00.000","1416",,"83",,,"796","522","15",,
"2021-04-20T00:00:00.000","1427",,"78","1",,"697","628","23",,
"2021-04-19T00:00:00.000","1462",,"86","1",,"568","787","20",,
"2021-04-18T00:00:00.000","1208",,"32",,,"406","751","19",,
"2021-04-17T00:00:00.000","1204",,"45","1",,"369","780","9",,
"2021-04-16T00:00:00.000","1268",,"66",,,"312","859","31",,
"2021-04-15T00:00:00.000","1343",,"111",,,"231","978","23",,
"2021-04-14T00:00:00.000","1365",,"118",,,"162","1067","18",,
"2021-04-13T00:00:00.000","1528",,"117",,,"162","1226","23",,
"2021-04-12T00:00:00.000","1564",,"104",,,"167","1262","31",,
"2021-04-11T00:00:00.000","1210",,"45","1",,"91","1049","24",,
"2021-04-10T00:00:00.000","1449",,"99",,,"114","1216","20",,
"2021-04-09T00:00:00.000","1381",,"128",,,"93","1126","34",,
"2021-04-08T00:00:00.000","1536",,"175","3",,"88","1243","27",,
"2021-04-07T00:00:00.000","1669",,"193",,,"79","1359","38",,
"2021-04-06T00:00:00.000","1693",,"177",,,"72","1402","42",,
"2021-04-05T00:00:00.000","1339",,"65","1",,"66","1174","33",,
"2021-04-04T00:00:00.000","1318",,"33",,,"59","1189","37",,
"2021-04-03T00:00:00.000","1410",,"121",,,"59","1197","33",,
"2021-04-02T00:00:00.000","1710",,"140","1",,"78","1440","51",,
"2021-04-01T00:00:00.000","2098",,"191","2",,"79","1768","58",,
"2021-03-31T00:00:00.000","1845",,"247","1",,"33","1508","56",,
"2021-03-30T00:00:00.000","2197",,"217","1",,"55","1873","51",,
"2021-03-29T00:00:00.000","2519",,"218","1",,"60","2170","70",,
"2021-03-28T00:00:00.000","1969",,"91",,,"47","1769","62",,
"2021-03-27T00:00:00.000","2222",,"233",,,"48","1883","58",,
"2021-03-26T00:00:00.000","2442",,"268","1",,"47","2064","62",,
"2021-03-25T00:00:00.000","2540",,"363",,,"43","2053","81",,
"2021-03-24T00:00:00.000","2712",,"341","1",,"50","2244","76",,
"2021-03-23T00:00:00.000","2736",,"353",,,"36","2251","96",,
"2021-03-22T00:00:00.000","3118",,"363",,,"56","2619","80",,
"2021-03-21T00:00:00.000","2508",,"127","1",,"31","2277","72",,
"2021-03-20T00:00:00.000","2761",,"239","1",,"36","2422","63",,
"2021-03-19T00:00:00.000","2789",,"299","1",,"47","2377","65",,
"2021-03-18T00:00:00.000","2859",,"392","2",,"51","2334","80",,
